NAME,Amuvatinib,Carboxyamidotriazole,Ouabain,Digoxin,AI-10-49,Tyrphostin,Polidocanol,Favipiravir,GSK2606414,Niclosamide,Emetine,Alvocidib,Cetylpyridinium chloride,Pevonedistat,Ethaverine,Camostat,Dapivirine,Remdesivir,AC1NDSS5,SB-612111,Thioguanosine,LY2228820,Hexachlorophene,Papaverine,Chloroquine,Nelfinavir,ZK-93423,Almitrine,Auranofin,Sorafenib,Octenidine,Regorafenib,Thimerosal,Tioguanine,Hematoporphyrin,Chlormidazole,Ivermectin,Methylene blue,Nitazoxanide,Azithromycine,Ketoconazole,Homoharringtonine,Ravuconazole,LDK378,Tetrandrine,Alisporivir,Isoosajin,Osimertinib mesylate,LGK-974,Mibampator,Bazedoxifene,Oxyclozanide,Lusutrombopag,Osajin,Dronedarone HCl,Avasimibe,Chlorpromazine Hydrochloride,Tilorone,Hydroxychloroquine Sulfate,Ciclesonide,Cepharanthine,Isopomiferin,Anidulafungin,Ebselen,Amodiaquin Dihydrochloride Dihydrate,Penfluridol,Opipramol dihydrochloride,Quinacrine hydrochloride monohydrate,CVL218,Amodiaquine hydrochloride,Imatinib Mesylate,Fluspirilene,Clomiphene Citrate,Alprostadil,Pexidartinib,Amodiaquin Hydrochloride,Lonafarnib,Avatrombopag,Cyclosporine,Apixaban,IPAG,JTE-013,Drotaverine,Hydroxyprogesterone caproate,Perhexiline maleate,Ivacaftor,Droloxifene((E)-3-Hydroxy tamoxifen),Abemaciclib,Thioridazine hydrochloride,Gilteritinib,Ebastine,Triparanol,Mequitazine,Clomipramine Hydrochloride,Berbamine hydrochloride,Thiethylperazine Maleate,Mefloquine Hydrochloride,Eltrombopag,Saquinavir,Fluphenazine Dihydrochloride,Tamoxifen Citrate,Lopinavir,Loperamide,Atazanavir,Promethazine Hydrochloride,LDE225,Arbidol,Toremifene Citrate,DCPIB,Tipranavir,Dihydrogambogic acid,AMG-9810,Loratadine,Brexpiprazole,Terconazole Vetranal,CC-223,CBIPES,Omeprazole,Lidoflazine,Benztropine Mesylate,Loteprednol etabonate,Vatalanib,Adoprazine,PH-797804,Cloconazole,BP-897,Harringtonine,Flunarizine,PF-670462,Oxprenolol hydrochloride,Etifoxine,Oxiconazole,Dolutegravir,Nafamostat,Clemizole hydrochloride,Phenazopyridine,Amprenavir,Sulfadoxine,Darunavir,Chloroquine Phosphate,Indinavir,Penciclovir,Ribavirin,Lanatoside C
Butyl acetate,-18.35555649,-15.39937782,-30.27786636,-36.50989914,-25.40918922,-12.29123592,-16.73054123,-6.277795315,-19.80928612,-11.80132771,-20.52327538,-16.74692535,-9.78891468,-18.22188759,-15.78417969,-15.46205235,-13.30944347,-25.24667358,-15.40661526,-15.63679981,-12.2964735,-22.52769279,-12.37846756,-14.15813923,-11.69379807,-22.30059433,-16.48865318,-18.07564545,-16.12875938,-17.68237877,-17.25503159,-18.34302139,-7.12195015,-6.356468678,-25.56798363,-10.20931244,-37.16916656,-11.37777138,-11.85295486,-31.95897484,-20.34370995,-25.92818832,-18.12118149,-21.35913658,-27.03680611,-45.85048294,-19.93860245,-22.24477768,-15.86012459,-15.39873791,-19.16573334,-12.99211407,-21.35002899,-18.60401535,-20.80532837,-20.53156281,-11.99878407,-16.93317604,-13.74801922,-27.63383102,-26.82440758,-20.70791817,-44.67535782,-9.334692001,-13.8654604,-20.42575645,-14.44536877,-15.42617702,-12.62132168,-13.70146942,-20.92753792,-19.78570366,-22.57069397,-12.75476837,-15.84269142,-13.70146942,-20.35325241,-23.01739883,-44.79939651,-19.87999344,-12.92163467,-15.24230862,-15.96692944,-18.08125114,-13.53182411,-18.37516022,-15.86995125,-20.29328156,-14.07486248,-21.54486656,-19.10947609,-17.43953896,-13.78341389,-12.29824924,-26.53812981,-20.79857445,-15.62822533,-18.57105255,-27.02007484,-16.77596283,-22.25499153,-24.81798363,-20.79514503,-28.87504005,-11.88454723,-19.72823906,-17.18123817,-22.60696793,-17.20110893,-24.43138695,-33.49586868,-14.35572433,-15.33012581,-16.45381165,-12.45280075,-17.16369247,-14.63592052,-13.50613213,-18.75454903,-15.08872223,-22.89915848,-13.41618061,-16.21529388,-16.82458496,-11.98115444,-16.16565895,-25.59407234,-15.46342182,-13.85963631,-9.847755432,-13.01740742,-13.72054386,-17.81138992,-14.31783772,-12.72041225,-8.391557693,-19.20121956,-11.84066105,-21.26270485,-15.44828224,-25.00003242,-10.00110626,-10.31241512,-44.63603592
Methylethyl ketone,-17.81817245,-14.87664413,-29.79083443,-36.02383423,-24.88372803,-11.743927,-16.21621895,-5.732214451,-19.28394508,-11.26667118,-19.96905327,-16.22420692,-9.246313095,-17.7203083,-15.26094341,-14.9091053,-12.76701832,-24.74863243,-14.83881187,-15.08900261,-11.86218071,-22.03238487,-11.8686161,-13.61985874,-11.14876175,-21.76749611,-15.96333981,-17.56406784,-15.58086395,-17.15028381,-16.67909241,-17.8216629,-6.576523781,-5.81892395,-25.09114075,-9.669163704,-36.661129,-10.89424515,-11.32462025,-31.48014259,-19.79444885,-25.39847374,-17.60750961,-20.84989738,-26.49047279,-45.31739044,-19.38523102,-21.72604942,-15.32077122,-14.8736372,-18.62408257,-12.45817089,-20.81450081,-18.06433296,-20.33158493,-20.03355217,-11.54269886,-16.39892197,-13.24207115,-27.09509659,-26.26723289,-20.15843201,-44.18470001,-8.792269707,-13.40612698,-19.9339695,-14.00919151,-14.99005699,-12.16818428,-13.25897408,-20.38222122,-19.23744202,-22.05454063,-12.2121439,-15.2962141,-13.25897408,-19.81099892,-22.47808075,-44.26514816,-19.3270359,-12.33425999,-14.71615314,-15.42940712,-17.55342674,-12.9251442,-17.85880852,-15.32217884,-19.76212502,-13.59231377,-20.98422623,-18.56852722,-16.91295242,-13.20837498,-11.83270931,-26.06099319,-20.2256813,-15.22231197,-18.03659058,-26.49041557,-16.37507439,-21.73754311,-24.29800606,-20.2840538,-28.36914063,-11.41546249,-19.18717384,-16.65714264,-22.09762955,-16.65817451,-23.91092491,-32.94453812,-13.78702068,-14.77222157,-15.9153471,-11.92426682,-16.61437607,-14.0974884,-12.97606087,-18.23518372,-14.54715061,-22.3617878,-12.88192463,-15.67544746,-16.30672836,-11.4248333,-15.60684204,-25.06413269,-14.92991734,-13.41746616,-9.367334366,-12.46647835,-13.18465519,-17.26111221,-13.78157234,-12.26321316,-7.825172424,-18.6924305,-11.29971981,-20.74819756,-14.92851639,-24.48118973,-9.506576538,-9.842202187,-44.16580963
tert-Butylmethyl ether,-18.03113937,-15.09227753,-29.9827919,-36.21210098,-25.0976429,-11.95597363,-16.42943382,-5.962555885,-19.49249649,-11.48384476,-20.17156601,-16.43237877,-9.461262703,-17.92965889,-15.47117805,-15.12348366,-12.97832298,-24.96113777,-15.0499239,-15.29674911,-12.07509041,-22.24337769,-12.09065342,-13.82781124,-11.35978508,-21.9740963,-16.1729641,-17.775383,-15.79091835,-17.35940552,-16.89353561,-18.03103828,-6.800427437,-6.036664009,-25.29866219,-9.884469986,-36.85174179,-11.10794449,-11.53743744,-31.66666794,-20.00292587,-25.60646057,-17.81831932,-21.0614872,-26.69290733,-45.51775742,-19.58943939,-21.93445015,-15.53394604,-15.08465767,-18.83843613,-12.66874409,-21.02516174,-18.26926041,-20.54559326,-20.23768234,-11.75676441,-16.60748863,-13.45617199,-27.29462624,-26.47366333,-20.36283684,-44.39019394,-9.007338524,-13.62571907,-20.14511108,-14.21916389,-15.20616817,-12.38098907,-13.4755373,-20.58860016,-19.44524765,-22.26601601,-12.41961956,-15.50790405,-13.4755373,-20.01942635,-22.68532181,-44.46569061,-19.53412437,-12.53234768,-14.92766571,-15.63679695,-17.7514782,-13.14175701,-18.06160545,-15.53172493,-19.97404099,-13.80205154,-21.19221115,-18.77756882,-17.12506104,-13.41762352,-12.04375172,-26.26597404,-20.43895912,-15.43699265,-18.2478447,-26.69643593,-16.58891106,-21.94686127,-24.50735855,-20.49576569,-28.57715416,-11.62784672,-19.3925972,-16.86700439,-22.30734062,-16.86517906,-24.12112427,-33.14373398,-13.99981213,-14.9795332,-16.12747574,-12.13583946,-16.82073402,-14.30812263,-13.18797493,-18.44263077,-14.75642872,-22.5551796,-13.09686184,-15.88597775,-16.51898384,-11.63523769,-15.81605816,-25.27192307,-15.13780308,-13.6359272,-9.585377693,-12.67306995,-13.3996973,-17.46807098,-13.99314499,-12.47964001,-8.045740128,-18.90361023,-11.51628113,-20.95891571,-15.14029312,-24.68991661,-9.727967262,-10.04973412,-44.3579216
2-Methyl-1-propanol,-17.85900879,-14.9259491,-29.82146263,-36.04738998,-24.92549515,-11.79159164,-16.24689674,-5.785582066,-19.32706833,-11.32137489,-20.01175117,-16.26620865,-9.283080101,-17.76243401,-15.30181694,-14.95125961,-12.81341648,-24.79258919,-14.87701035,-15.13056278,-11.90736294,-22.07976723,-11.91557026,-13.65781689,-11.18629837,-21.81016541,-16.00611687,-17.60770798,-15.62349892,-17.19459915,-16.71797562,-17.8671093,-6.619737148,-5.861680031,-25.13455391,-9.707894325,-36.6877861,-10.9395256,-11.37668133,-31.50866508,-19.8347702,-25.44280624,-17.65235138,-20.89632034,-26.5303688,-45.358078,-19.42738724,-21.77194595,-15.36625767,-14.91240978,-18.66218948,-12.5083704,-20.86190796,-18.10513306,-20.38210297,-20.07603455,-11.5869236,-16.44153214,-13.28201771,-27.13514519,-26.30800438,-20.20055199,-44.22722244,-8.835976601,-13.45965481,-19.97623253,-14.06079197,-15.03879833,-12.22060966,-13.30930328,-20.42798805,-19.27812767,-22.1020565,-12.24747276,-15.33919811,-13.30930328,-19.85417938,-22.5238266,-44.30569839,-19.37386131,-12.37233734,-14.76097202,-15.47496033,-17.59430695,-12.96953487,-17.89923286,-15.36478329,-19.80257607,-13.64044857,-21.03049278,-18.60869026,-16.95453453,-13.2487812,-11.87718773,-26.10497093,-20.26877594,-15.27300453,-18.08466339,-26.53287888,-16.42452431,-21.78399849,-24.33957863,-20.33166695,-28.41295433,-11.45507813,-19.2271328,-16.70513725,-22.14509773,-16.70255089,-23.95500755,-32.98648834,-13.82294941,-14.81529236,-15.95565414,-11.96346951,-16.65671921,-14.1432724,-13.01639652,-18.27535057,-14.58211422,-22.40298653,-12.92758083,-15.71481323,-16.35290337,-11.46808243,-15.64502239,-25.10831451,-14.96766281,-13.47591496,-9.409656525,-12.50463009,-13.23048496,-17.30701065,-13.83085823,-12.30768299,-7.874133587,-18.73207664,-11.35091782,-20.79103279,-14.96777439,-24.52223015,-9.552510262,-9.881863594,-44.18976593
Dimethyl sulfoxide,-17.69491005,-14.76397133,-29.67446327,-35.90507889,-24.76441383,-11.6298418,-16.09692001,-5.61636591,-19.15807724,-11.15551186,-19.8354702,-16.10870552,-9.132665634,-17.59312057,-15.14317799,-14.79249668,-12.65345764,-24.62532234,-14.72061062,-14.96756935,-11.74420547,-21.91044617,-11.75562382,-13.50060844,-11.03542995,-21.64466286,-15.84172821,-17.44306946,-15.46504784,-17.03203583,-16.56072235,-17.70315933,-6.456045151,-5.705392838,-24.97360229,-9.552025795,-36.54846191,-10.7789526,-11.21021175,-31.37076759,-19.66791916,-25.26210594,-17.4934597,-20.72916222,-26.35992622,-45.20235443,-19.25802231,-21.61065674,-15.20740414,-14.7587719,-18.50542068,-12.34298515,-20.697855,-17.94573402,-20.2144413,-19.91136932,-11.43019676,-16.27551651,-13.12932873,-26.9716053,-26.13402176,-20.02957916,-44.06225586,-8.687132835,-13.29451466,-19.80619812,-13.88938332,-14.87969398,-12.05661774,-13.14449978,-20.26578522,-19.1072731,-21.93906975,-12.09572506,-15.17163944,-13.14449978,-19.68564034,-22.35442352,-44.14990997,-19.19711876,-12.20876789,-14.59788132,-15.30483532,-17.42783356,-12.80178356,-17.73971939,-15.20632362,-19.64045525,-13.47357082,-20.85557938,-18.45279312,-16.79259682,-13.08579159,-11.71729183,-25.93272209,-20.10848427,-15.10356617,-17.92081833,-26.36564064,-16.25627136,-21.62518883,-24.17624092,-20.15247726,-28.24148369,-11.30360413,-19.06793594,-16.5426178,-21.98465538,-16.53352356,-23.78017426,-32.81484222,-13.6656599,-14.6489954,-15.80344963,-11.81217098,-16.48522568,-13.98075104,-12.85951805,-18.11358833,-14.43204021,-22.23597145,-12.77001667,-15.55341721,-16.19253349,-11.31156254,-15.48941422,-24.9268074,-14.81202602,-13.30670261,-9.261997223,-12.34142208,-13.06966209,-17.13537598,-13.66765594,-12.14636421,-7.706460953,-18.57194138,-11.18227482,-20.62750626,-14.81840611,-24.35654068,-9.393503189,-9.724266052,-44.04669189
Pentane,-17.79147148,-14.84112263,-29.74864769,-35.97356033,-24.84896851,-11.71440601,-16.16703987,-5.706285477,-19.25279045,-11.24004078,-19.93564224,-16.19344902,-9.197986603,-17.69250679,-15.21806526,-14.86985683,-12.7311573,-24.70821381,-14.79250336,-15.05862141,-11.83649063,-21.99092674,-11.82756519,-13.58158398,-11.10490513,-21.73410988,-15.92544651,-17.53225136,-15.5457859,-17.11704636,-16.64003754,-17.78836823,-6.540244579,-5.793721676,-25.04906273,-9.633885384,-36.61569595,-10.86436844,-11.2930603,-31.43579674,-19.76092529,-25.35881805,-17.57145309,-20.81319427,-26.45389557,-45.27826691,-19.35346031,-21.68729591,-15.29255962,-14.83589458,-18.58541489,-12.42961979,-20.77995491,-18.02960777,-20.29442024,-19.99118423,-11.50759125,-16.359478,-13.20446205,-27.06460762,-26.23350525,-20.12595177,-44.15483856,-8.759874344,-13.37512207,-19.9027195,-13.98270321,-14.95182896,-12.13720989,-13.22730827,-20.35639954,-19.20175552,-22.02281761,-12.16861057,-15.26801777,-13.22730827,-19.78083611,-22.44872284,-44.22603607,-19.29413795,-12.30557251,-14.67996883,-15.39447689,-17.52015114,-12.90645599,-17.81679153,-15.282444,-19.72973251,-13.56094265,-20.9529438,-18.53670311,-16.87532425,-13.17576885,-11.8019762,-26.02675247,-20.19032669,-15.18282986,-18.00466728,-26.4547596,-16.33423233,-21.70312691,-24.25530243,-20.24964523,-28.32661247,-11.37270641,-19.15675163,-16.61551476,-22.06382561,-16.61669159,-23.86868477,-32.91199493,-13.7432785,-14.74024677,-15.88332462,-11.88667583,-16.58273125,-14.06146622,-12.93291378,-18.20425415,-14.51280689,-22.33317375,-12.85360527,-15.64862347,-16.26885033,-11.39135838,-15.57741928,-25.02402687,-14.89819431,-13.39266109,-9.323237419,-12.42447567,-13.15461349,-17.22821045,-13.75435734,-12.22931194,-7.802903175,-18.64968872,-11.26777077,-20.70614243,-14.8910265,-24.43949699,-9.467835426,-9.812123299,-44.11433411
Ethanol,-17.59560585,-14.66054726,-29.56966019,-35.78754044,-24.66082954,-11.52468872,-15.96341705,-5.514064789,-19.06468773,-11.04957485,-19.74545097,-16.01203346,-9.003975868,-17.49858284,-15.03866005,-14.67676067,-12.54184723,-24.5269146,-14.60150814,-14.86390972,-11.65020657,-21.81562614,-11.64498329,-13.39735603,-10.91978073,-21.5420475,-15.74621582,-17.34034348,-15.3533783,-16.92274475,-16.43686485,-17.59560394,-6.349817276,-5.601765156,-24.87420845,-9.446088791,-36.43683624,-10.67626095,-11.10527802,-31.25341988,-19.56488991,-25.17605209,-17.39050102,-20.62779236,-26.26474571,-45.09209824,-19.16712189,-21.50528336,-15.10046387,-14.65054131,-18.40212059,-12.23938942,-20.59002876,-17.8451786,-20.11337662,-19.81305695,-11.31998539,-16.16905785,-13.01587009,-26.87338638,-26.03894424,-19.9405117,-43.96066284,-8.578478813,-13.19396496,-19.71124268,-13.78849792,-14.7772541,-11.96030235,-13.04290771,-20.16444969,-19.00604248,-21.83248901,-11.97850323,-15.07232666,-13.04290771,-19.58646011,-22.25242996,-44.03927994,-19.09781647,-12.10575485,-14.49083138,-15.20088768,-17.33216286,-12.69427395,-17.64055824,-15.09393692,-19.53960609,-13.37324047,-20.75898552,-18.34667587,-16.69134521,-12.9806242,-11.61172771,-25.83924103,-19.99464607,-15.01149559,-17.82066536,-26.26405144,-16.15282822,-21.5177803,-24.06947327,-20.06023979,-28.14226913,-11.18769455,-18.959589,-16.44578362,-21.87815666,-16.43467903,-23.68138504,-32.71889496,-13.55195141,-14.53856468,-15.69608784,-11.70049858,-16.38669395,-13.87831306,-12.75069237,-18.00990295,-14.32102776,-22.13825035,-12.66394329,-15.44864464,-16.08733177,-11.20281601,-15.37937355,-24.84205055,-14.70419884,-13.21622276,-9.143708229,-12.23066521,-12.95811939,-17.03330612,-13.56722736,-12.04706669,-7.601828098,-18.46777534,-11.08135414,-20.52292824,-14.70266819,-24.25350952,-9.285414696,-9.620854378,-43.92911911
1-Pentanol,-17.88922882,-14.93879128,-29.84506226,-36.07379913,-24.94891548,-11.81114006,-16.27296257,-5.812936306,-19.34954453,-11.34117317,-20.04047585,-16.28862953,-9.303640366,-17.79192734,-15.31612778,-14.97131729,-12.83014393,-24.81001663,-14.8986063,-15.15825939,-11.93424416,-22.08958626,-11.93511772,-13.67801285,-11.20555878,-21.83810425,-16.02267456,-17.6307621,-15.65794182,-17.22027969,-16.75050354,-17.89199638,-6.647354603,-5.884951591,-25.14699745,-9.729355812,-36.71471024,-10.9670248,-11.39654541,-31.53762054,-19.86330795,-25.46191025,-17.66859627,-20.91591644,-26.55522919,-45.38281631,-19.45327187,-21.78836441,-15.3872509,-14.93323326,-18.68149376,-12.53640079,-20.88555145,-18.12633514,-20.39811134,-20.08960533,-11.60840416,-16.46222496,-13.30383682,-27.16981888,-26.33826637,-20.22504616,-44.25634384,-8.852835655,-13.47768688,-20.00039101,-14.08914948,-15.05171204,-12.23374939,-13.32899857,-20.45822334,-19.30444717,-22.12639046,-12.27149582,-15.3665638,-13.32899857,-19.88194084,-22.55362511,-44.33041763,-19.39974785,-12.41388321,-14.78264713,-15.50212288,-17.61951447,-13.01267529,-17.91490746,-15.38736153,-19.82843208,-13.66280746,-21.05864334,-18.63340569,-16.97458458,-13.2759943,-11.90247631,-26.1291256,-20.29718018,-15.28283405,-18.10037041,-26.55706596,-16.43776131,-21.80566978,-24.35913086,-20.35559464,-28.4299469,-11.4732275,-19.25631714,-16.71582985,-22.16631126,-16.72175217,-23.97068024,-33.01588821,-13.84353352,-14.84736633,-15.97580814,-11.98495007,-16.68605804,-14.16066647,-13.03208733,-18.30313301,-14.6084919,-22.43971634,-12.9472723,-15.74825382,-16.3695488,-11.49110317,-15.67919064,-25.12710381,-14.99613762,-13.49143791,-9.423989296,-12.52904987,-13.25942612,-17.33280182,-13.85041428,-12.32655048,-7.906562328,-18.74936295,-11.36825657,-20.80947495,-14.9909296,-24.54187965,-9.567025185,-9.911979675,-44.21462631
Ethyl acetate,-17.92218781,-14.97582912,-29.89383507,-36.12958527,-24.98729324,-11.84349155,-16.33057976,-5.84022665,-19.3833046,-11.36921787,-20.07419395,-16.32305717,-9.358417511,-17.82251167,-15.36602688,-15.01254749,-12.86912727,-24.85590553,-14.95051193,-15.19285297,-11.96338081,-22.13466072,-11.97905731,-13.72159386,-11.25505829,-21.87130737,-16.06299973,-17.66524887,-15.69143867,-17.25378799,-16.79090309,-17.92529678,-6.687757492,-5.915211201,-25.19422913,-9.771349907,-36.76990891,-10.99824619,-11.42365837,-31.58418274,-19.89947701,-25.50488472,-17.7089119,-20.95391083,-26.59376144,-45.42412567,-19.4870491,-21.82872009,-15.41577244,-14.97630405,-18.7256031,-12.56338215,-20.91961288,-18.16549492,-20.43543625,-20.13656998,-11.65008068,-16.5063858,-13.34675217,-27.19450569,-26.37340164,-20.25950241,-44.28788757,-8.887346268,-13.51052284,-20.03793335,-14.11694336,-15.09400845,-12.26293564,-13.36364841,-20.48238945,-19.34210014,-22.15952492,-12.32322121,-15.395998,-13.36364841,-19.9140892,-22.5820961,-44.37188721,-19.43096161,-12.43918037,-14.82033253,-15.54071712,-17.65001678,-13.02820492,-17.9614315,-15.42810249,-19.86413956,-13.69568634,-21.08880043,-18.67189407,-17.01855469,-13.31211376,-11.93642902,-26.16460609,-20.3366127,-15.32546425,-18.13131523,-26.5933094,-16.48242188,-21.84012413,-24.40494347,-20.39094353,-28.47509766,-11.52372456,-19.28899765,-16.75860786,-22.20002174,-16.76538658,-24.01842117,-33.04853439,-13.89582157,-14.88032722,-16.01744843,-12.0283289,-16.71883965,-14.19852924,-13.08023262,-18.33630753,-14.65123367,-22.46483421,-12.97716904,-15.78005981,-16.40972137,-11.52631283,-15.71125889,-25.1704483,-15.03051472,-13.51638794,-9.474019051,-12.57633591,-13.28966904,-17.36520576,-13.87665367,-12.36502457,-7.926388264,-18.79884911,-11.40051937,-20.85502052,-15.03361034,-24.58792686,-9.611068726,-9.944146156,-44.27556992
1-Propanol,-17.6931076,-14.7529335,-29.65967941,-35.88132477,-24.7546978,-11.62011528,-16.06550026,-5.612831593,-19.159235,-11.14741898,-19.8431797,-16.10246468,-9.102707863,-17.59618759,-15.13035774,-14.77623653,-12.63801765,-24.61970711,-14.6997509,-14.96278191,-11.74331474,-21.90583229,-11.73863506,-13.48994827,-11.01439476,-21.64050865,-15.8355875,-17.43848228,-15.45428085,-17.02232933,-16.54072571,-17.6944561,-6.448523521,-5.696220875,-24.96448517,-9.53823185,-36.527565,-10.7722168,-11.20072746,-31.34806442,-19.6647377,-25.27067375,-17.48210144,-20.7234993,-26.36175346,-45.18876266,-19.26084328,-21.59867287,-15.19631863,-14.74420738,-18.49349785,-12.33728695,-20.68829727,-17.93736267,-20.20787239,-19.90463257,-11.41720676,-16.2690239,-13.11237526,-26.97080994,-26.13817215,-20.03367615,-44.05922318,-8.668024063,-13.28925705,-19.80836868,-13.88975811,-14.86848831,-12.05079651,-13.13901711,-20.26113129,-19.10505104,-21.9309063,-12.07496262,-15.16973305,-13.13901711,-19.68497658,-22.35349464,-44.13640976,-19.19922638,-12.20813656,-14.58738327,-15.30272484,-17.42710304,-12.79839993,-17.73016739,-15.19270039,-19.63497162,-13.47105598,-20.85897064,-18.44254303,-16.78486061,-13.07871056,-11.71038151,-25.93635178,-20.0950489,-15.1006031,-17.91353035,-26.36119652,-16.25039482,-21.61363411,-24.16518784,-20.15765572,-28.23769379,-11.2826786,-19.0588913,-16.53185272,-21.97444153,-16.52951241,-23.7782917,-32.81727982,-13.6512022,-14.64277649,-15.78994179,-11.79473495,-16.4870224,-13.97172356,-12.84370804,-18.1079464,-14.41762352,-22.23822975,-12.75791645,-15.55013371,-16.18051529,-11.29859447,-15.47882557,-24.9362812,-14.80132675,-13.3075943,-9.236022949,-12.32946301,-13.05843639,-17.13328743,-13.66246796,-12.13931847,-7.702611446,-18.56085014,-11.17617702,-20.6170578,-14.79818153,-24.34864998,-9.377968788,-9.717583656,-44.02280426
Ethyl ether,-17.80934334,-14.85916901,-29.76992798,-35.99880981,-24.87090683,-11.72951317,-16.19098854,-5.727477074,-19.27081108,-11.2565527,-19.95623016,-16.21409416,-9.223259926,-17.71055222,-15.24052048,-14.89096832,-12.74649143,-24.73267174,-14.81561184,-15.07863235,-11.85726452,-22.01398087,-11.85251808,-13.60247421,-11.12877274,-21.75242233,-15.94452381,-17.55002022,-15.56729889,-17.13625145,-16.66061401,-17.80761147,-6.564351082,-5.809929371,-25.07213211,-9.654448509,-36.63809967,-10.88194084,-11.31367016,-31.46080399,-19.77994537,-25.38340569,-17.59349823,-20.83419037,-26.4746933,-45.30124664,-19.37290955,-21.70844078,-15.30666161,-14.8591404,-18.60690689,-12.44817734,-20.79985046,-18.04885674,-20.31574059,-20.01425362,-11.53071785,-16.38204956,-13.22639179,-27.08155632,-26.25404549,-20.14587975,-44.17403412,-8.777141571,-13.39302921,-19.92195892,-14.001194,-14.97640514,-12.15391541,-13.24509048,-20.37177086,-19.22133446,-22.04271507,-12.19140339,-15.28522587,-13.24509048,-19.80011559,-22.4674778,-44.24900436,-19.31150627,-12.32282829,-14.70019341,-15.41512012,-17.53755569,-12.91916752,-17.84020996,-15.30282593,-19.74957466,-13.58216572,-20.9724865,-18.554636,-16.89908981,-13.1951704,-11.82307529,-26.0477581,-20.21244621,-15.20898342,-18.02023697,-26.47313118,-16.35911179,-21.72318077,-24.27852631,-20.27098846,-28.34912682,-11.39650345,-19.17521095,-16.63820457,-22.0836792,-16.64081573,-23.89152527,-32.93005371,-13.76681232,-14.75778198,-15.90169621,-11.91009712,-16.60210991,-14.08161545,-12.9554224,-18.22257423,-14.5327692,-22.34950829,-12.86803818,-15.66631126,-16.29099846,-11.40749836,-15.5960331,-25.04868126,-14.91710567,-13.40973473,-9.348560333,-12.44434929,-13.17319489,-17.24706841,-13.76828194,-12.2503376,-7.814908028,-18.6745491,-11.28711224,-20.72966385,-14.91459656,-24.46207428,-9.490572929,-9.832640648,-44.13962936
2-Propanol,-17.76538086,-14.83710861,-29.73189163,-35.95637131,-24.83400726,-11.6981163,-16.14437294,-5.691574574,-19.23433113,-11.22716618,-19.91563225,-16.17938232,-9.184520721,-17.66711807,-15.2139616,-14.85506821,-12.71982193,-24.70212173,-14.7799654,-15.03265762,-11.81546211,-21.99265099,-11.82117462,-13.56674194,-11.09322548,-21.71296692,-15.91980839,-17.5133152,-15.52515602,-17.09776306,-16.61555672,-17.77040482,-6.525907993,-5.769699574,-25.04750252,-9.616918564,-36.59849548,-10.84834957,-11.28267384,-31.41763496,-19.73649406,-25.35011864,-17.56391144,-20.8049202,-26.4355545,-45.26298141,-19.33504486,-21.68145752,-15.27186584,-14.81987572,-18.57283211,-12.41386223,-20.76691818,-18.0155735,-20.29263306,-19.98734856,-11.49378109,-16.34641075,-13.18982792,-27.03844452,-26.20975113,-20.1083889,-44.12962341,-8.748145103,-13.37207985,-19.88295746,-13.96238804,-14.95160675,-12.13328552,-13.22042084,-20.33334351,-19.18000793,-22.00655937,-12.15243435,-15.24234676,-13.22042084,-19.75694847,-22.42483139,-44.21046448,-19.27476692,-12.27046776,-14.66691399,-15.37823963,-17.50081444,-12.86537743,-17.81141663,-15.26999569,-19.70903587,-13.54522038,-20.93250084,-18.51800346,-16.86361694,-13.15156937,-11.78168011,-26.01078033,-20.16989899,-15.18860912,-17.99326706,-26.43716621,-16.33275032,-21.69125557,-24.2460022,-20.23746681,-28.32012749,-11.36320114,-19.12963486,-16.62342072,-22.05252457,-16.6103611,-23.86056709,-32.8898468,-13.72837639,-14.71318722,-15.86283207,-11.87154675,-16.55776024,-14.05263615,-12.92672157,-18.17957687,-14.48863411,-22.30517387,-12.83565235,-15.61734772,-16.26249504,-11.3761301,-15.54700661,-25.01641083,-14.87286758,-13.38872147,-9.320131302,-12.40903282,-13.13363838,-17.20861626,-13.73692131,-12.21842575,-7.77660656,-18.6419754,-11.25784683,-20.69908142,-14.87440968,-24.429039,-9.46077919,-9.78680706,-44.09791565
