,index,Unnamed: 0,Solute,Solvent,SoluteSMILES,SolventSMILES,DeltaGsolv
20,1386,1708,"1,4-dichlorobenzene",octanol,C1=CC(=CC=C1Cl)Cl,CCCCCCCCO,-5.67
21,1514,1886,butanoicacid,pentanol,C1=CN=C(C=C1CO)C2=NC=CC(=C2)CO,CCCCCO,-7.74
22,480,645,fluorobenzene,decalin,C1=CC=C(C=C1)F,C1CCC2CCCCC2C1,-3.44
23,2072,2684,"2,4-dinitrophenol",acetonitrile,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O,CC#N,-36.0
24,240,373,p-cresol,chlorobenzene,CC1=CC=C(C=C1)O,C1=CC=C(C=C1)Cl,-7.23
25,70,105,aniline,benzene,C1=CC=C(C=C1)N,C1=CC=CC=C1,-6.88
26,1163,1462,thiophenol,methylenechloride,C1=CC=C(C=C1)S,C(Cl)Cl,-7.11
27,2261,2921,diphenylamine,water,C1=CC=C(C=C1)NC2=CC=CC=C2,O,-54.6
28,73,108,N-methylaniline,benzene,CNC1=CC=CC=C1,C1=CC=CC=C1,-6.64
29,602,830,formamide,diethylether,C(=O)N,CCOCC,-5.97
30,2168,2801,phenylacetylene,dimethylsulfoxide,C#CC1=CC=CC=C1,CS(=O)C,-56.4
31,1740,2177,methylformate,water,COC=O,O,-2.78
32,1838,2285,phosphine,water,P,O,0.6
33,332,478,triethylphosphate,chloroform,CCOP(=O)(OCC)OCC,C(Cl)(Cl)Cl,-10.9
34,1769,2212,propionitrile,water,CCC#N,O,-3.85
35,886,1138,ethylformate,hexadecane,CCOC=O,CCCCCCCCCCCCCCCC,-2.59
36,157,200,propylacetate,bromooctane,CCCCC(=O)O,CCCCCCCCBr,-4.48
37,817,1066,2-methylpentane,hexadecane,CCCC(C)C,CCCCCCCCCCCCCCCC,-3.48
38,1833,2279,"1,1,1,3,3,3-hexafluoropropan-2-ol",water,C(C(F)(F)F)(C(F)(F)F)O,O,-3.77
39,1477,1821,iodomethane,octanol,CI,CCCCCCCCO,-3.07
40,891,1149,ethylamine,hexadecane,CCN,CCCCCCCCCCCCCCCC,-2.29
41,900,1158,2-methylpyridine,hexadecane,CC1=CC=CC=N1,CCCCCCCCCCCCCCCC,-4.68
42,440,597,tripropylphosphate,cyclohexane,CCOC(=O)C1=C(NC(=O)NC1C2=CC=CC=C2)C,C1CCCCC1,-7.71
43,636,866,toluene,dimethylformamide,CC1=CC=CC=C1,CN(C)C=O,-4.88
44,51,79,"1,4-dioxane",benzene,C1COCCO1,C1=CC=CC=C1,-5.21
45,1232,1538,1-nonanol,nonanol,CCCCCCCCCO,CCCCCCCCCO,-9.05
46,1344,1664,diethylamine,octanol,CCNCC,CCCCCCCCO,-4.75
47,1418,1741,tetrahydropyran,octanol,C1CCOCC1,CCCCCCCCO,-4.21
48,841,1091,anthracene,hexadecane,C1=CC=C2C=C3C=CC=CC3=CC2=C1,CCCCCCCCCCCCCCCC,-10.32
49,1637,2064,"1,4-dioxane",triethylamine,C1COCCO1,CCN(CC)CC,-4.41
50,1720,2155,anisole,water,COC1=CC=CC=C1,O,-2.45
51,1894,2363,hydrogenperoxide,water,OO,O,-8.58
52,1340,1660,propylamine,octanol,CCCN,CCCCCCCCO,-4.77
53,1333,1648,butanoicacid,octanol,C1=CN=C(C=C1CO)C2=NC=CC(=C2)CO,CCCCCCCCO,-7.58
54,1594,2012,2-heptanone,toluene,CCCCCC(=O)C,CC1=CC=CC=C1,-6.3
55,507,675,butylacetate,decane,CCCCCC(=O)[O-],CCCCCCCCCC,-4.66
56,2180,2813,ammonia,dimethylsulfoxide,N,CS(=O)C,-93.9
57,647,877,"2,6-dimethylpyridine",dimethylpyridine,CC1=NC(=CC=C1)C,CC1=C(N=CC=C1)C,-6.04
58,1284,1596,1-hexene,octanol,CCCCC=C,CCCCCCCCO,-2.94
59,829,1079,ethyne,hexadecane,C#C,CCCCCCCCCCCCCCCC,-0.2
60,1178,1477,m-cresol,nitrobenzene,CC1=CC(=CC=C1)O,C1=CC=C(C=C1)[N+](=O)[O-],-7.29
61,1628,2054,butanoicacid,tributylphosphate,C1=CN=C(C=C1CO)C2=NC=CC(=C2)CO,CCCCOP(=O)(OCCCC)OCCCC,-8.29
62,2153,2785,adenine,dimethylsulfoxide,C1=NC2=NC=NC(=C2N1)N,CS(=O)C,-56.4
63,1877,2333,"2,6-dichlorobenzonitrile",water,C1=CC(=C(C(=C1)Cl)C#N)Cl,O,-5.22
64,220,272,phenol,carbondisulfide,C1=CC=C(C=C1)O,C(=S)=S,-6.27
65,1828,2273,tetrachloroethene,water,C(=C(Cl)Cl)(Cl)Cl,O,0.05
66,416,573,3-methylpyridine,cyclohexane,CC1=CN=CC=C1,C1CCCCC1,-5.14
67,84,119,piperidine,benzene,C1CCNCC1,C1=CC=CC=C1,-5.03
68,1530,1904,ethylacetate,perfluorobenzene,CCOC(=O)C,C1(=C(C(=C(C(=C1F)F)F)F)F)F,-4.56
69,2040,2646,1-methyluracil,octanol-water,CN1C=CC(=O)NC1=O,CCCCCCCCO.O,1.36
70,109,147,2-butanone,benzylalcohol,CCC(=O)C,C1=CC=C(C=C1)CO,-4.57
71,2016,2620,decamethyltetrasiloxane,octanol-water,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,CCCCCCCCO.O,-7.34
72,1208,1509,1-hexanol,nonane,CCCCCCO,CCCCCCCCC,-4.97
73,290,427,acetaldehyde,chloroform,CC=O,C(Cl)(Cl)Cl,-3.65
74,1103,1386,1-hexanol,isooctane,CCCCCCO,CC(C)CC(C)(C)C,-5.1
75,432,589,chlorobenzene,cyclohexane,C1=CC=C(C=C1)Cl,C1CCCCC1,-5.1
76,1943,2477,iodoethane,water,CCI,O,-0.72
77,869,1119,pentanal,hexadecane,CCCCC=O,CCCCCCCCCCCCCCCC,-3.89
78,1446,1781,2-pyrrolidinone,octanol,C1CC(=O)NC1,CCCCCCCCO,-8.85
79,879,1129,4-heptanone,hexadecane,CCCC(=O)CCC,CCCCCCCCCCCCCCCC,-5.2
80,2291,2958,4-nitroaniline,water,C1=CC(=CC=C1N)[N+](=O)[O-],O,-57.4
81,1996,2596,"5-methyl-4-phenyl-1,2-dithiol-3-one",octanol-water,CC1=C(C(=O)SS1)C2=CC=CC=C2,CCCCCCCCO.O,-4.0
82,212,261,2-hexanone,butylbenzene,CCCCC(=O)C,CCCCC1=CC=CC=C1,-5.31
83,611,839,ethanol,diisopropylether,CCO,CC(C)OC(C)C,-3.9
84,787,1035,benzamide,heptane,C1=CC=C(C=C1)C(=O)N,CCCCCCC,-7.26
85,889,1145,butylacetate,hexadecane,CCCCCC(=O)[O-],CCCCCCCCCCCCCCCC,-4.61
86,1862,2314,"1,1,1,2-tetrachloroethane",water,C(C(Cl)(Cl)Cl)Cl,O,-1.15
87,1675,2107,cyclohexane,water,C1CCCCC1,O,1.23
88,18,45,"1,4-dioxane",aniline,C1COCCO1,C1=CC=C(C=C1)N,-5.65
89,2104,2723,benzamide,acetonitrile,C1=CC=C(C=C1)C(=O)N,CC#N,-69.7
90,1332,1647,propanoicacid,octanol,CC(=O)CC(=O)NC1=CC(=C(C=C1OC)OC)Cl,CCCCCCCCO,-6.86
91,1004,1278,p-cresol,hexane,CC1=CC=C(C=C1)O,CCCCCC,-5.86
92,948,1208,bromobenzene,hexadecane,C1=CC=C(C=C1)Br,CCCCCCCCCCCCCCCC,-5.51
93,2219,2872,N-methylaniline,methanol,CNC1=CC=CC=C1,CO,-63.5
94,529,699,p-bromophenol,decanol,C1=CC(=CC=C1O)Br,CCCCCCCCCCO,-10.32
95,76,111,m-hydroxybenzaldehyde,benzene,C1=CC(=CC(=C1)O)C=O,C1=CC=CC=C1,-9.29
96,410,567,ethylamine,cyclohexane,CCN,C1CCCCC1,-2.04
97,1525,1898,acetone,perfluorobenzene,CC(=O)C,C1(=C(C(=C(C(=C1F)F)F)F)F)F,-3.82
98,2296,2963,thiophenol,water,C1=CC=C(C=C1)S,O,-63.4
99,979,1244,formamide,hexadecane,C(=O)N,CCCCCCCCCCCCCCCC,-2.91
100,819,1068,"2,2,4-trimethylpentane",hexadecane,CC(C)CC(C)(C)C,CCCCCCCCCCCCCCCC,-4.24
101,168,212,2-butanone,butanol,CCC(=O)C,CCCCO,-4.12
102,407,561,ethylacetate,cyclohexane,CCOC(=O)C,C1CCCCC1,-3.56
103,855,1105,m-cresol,hexadecane,CC1=CC(=CC=C1)O,CCCCCCCCCCCCCCCC,-5.91
104,1199,1500,2-butanone,nitromethane,CCC(=O)C,C[N+](=O)[O-],-4.72
105,2312,2982,acetone,water,CC(=O)C,O,-66.3
106,219,271,ethanol,carbondisulfide,CCO,C(=S)=S,-2.72
107,582,808,nitrobenzene,diethylether,C1=CC=C(C=C1)[N+](=O)[O-],CCOCC,-6.85
108,1044,1324,phenol,hexanol,C1=CC=C(C=C1)O,CCCCCCO,-8.76
109,303,447,propylamine,chloroform,CCCN,C(Cl)(Cl)Cl,-4.73
110,1538,1921,ethanol,propanol,CCO,CCCO,-5.01
111,1798,2243,chloroethane,water,CCCl,O,-0.63
112,1669,2101,"2,2-dimethylpropane",water,CC(C)(C)C,O,2.5
113,2188,2825,dichloroaceticacid,methanol,B1(OC(C(O1)(C)C)(C)C)C2=C(C=CC(=C2)C(=O)OC)C,CO,-59.3
114,414,571,aniline,cyclohexane,C1=CC=C(C=C1)N,C1CCCCC1,-5.52
115,1414,1737,2-ethylpyrazine,octanol,CCC1=NC=CN=C1,CCCCCCCCO,-6.4
116,1677,2109,"cis-1,2-dimethylcyclohexane",water,C[C@@H]1CCCC[C@@H]1C,O,1.58
117,1216,1519,ethylacetate,nonane,CCOC(=O)C,CCCCCCCCC,-3.45
118,2243,2897,ethanol,water,CCO,O,-78.5
119,1844,2292,N-methylmorpholine,water,CN1CCOCC1,O,-6.34
120,231,364,toluene,chlorobenzene,CC1=CC=CC=C1,C1=CC=C(C=C1)Cl,-5.18
121,461,620,nitromethane,cyclohexanone,C[N+](=O)[O-],C1CCC(=O)CC1,-5.09
122,135,176,p-bromophenol,bromobenzene,C1=CC(=CC=C1O)Br,C1=CC=C(C=C1)Br,-8.49
123,25,53,toluene,anisole,CC1=CC=CC=C1,COC1=CC=CC=C1,-4.95
124,1665,2097,n-hexane,water,CCCCCC,O,2.49
125,786,1034,"N,N-dimethylacetamide",heptane,CC(=O)N(C)C,CCCCCCC,-4.8
126,1389,1711,bromoform,octanol,C(Br)(Br)Br,CCCCCCCCO,-5.62
127,736,978,m-xylene,heptane,CC1=CC(=CC=C1)C,CCCCCCC,-5.67
128,925,1185,1-fluorohexane,hexadecane,CCCCCCF,CCCCCCCCCCCCCCCC,-4.03
129,192,240,"1,2-ethanediol",butylacetate,C(CO)O,CCCCCC(=O)[O-],-6.27
130,289,426,formaldehyde,chloroform,C=O,C(Cl)(Cl)Cl,0.12
131,435,592,"2,2,2-trifluoroethanol",cyclohexane,C(C(F)(F)F)O,C1CCCCC1,-1.53
132,963,1226,tetrahydropyran,hexadecane,C1CCOCC1,CCCCCCCCCCCCCCCC,-4.08
133,1336,1654,ethylacetate,octanol,CCOC(=O)C,CCCCCCCCO,-4.06
134,2034,2639,ethylurea,octanol-water,CCNC(=O)N,CCCCCCCCO.O,1.01
135,1824,2269,tetrafluoromethane,water,C(F)(F)(F)F,O,3.16
136,741,983,ethanol,heptane,CCO,CCCCCCC,-2.15
137,445,603,"3,5-dibromo-4-hydroxybenzonitrile",cyclohexane,C1=C(C=C(C(=C1Br)O)Br)C#N,C1CCCCC1,-6.83
138,128,168,propylacetate,bromobenzene,CCCCC(=O)O,C1=CC=C(C=C1)Br,-4.93
139,2171,2804,succinimide,dimethylsulfoxide,C1CC(=O)NC1=O,CS(=O)C,-58.6
140,1681,2114,1-butene,water,CCC=C,O,1.38
141,1577,1995,toluene,toluene,CC1=CC=CC=C1,CC1=CC=CC=C1,-5.12
142,873,1123,cyclopentanone,hexadecane,C1CCC(=O)C1,CCCCCCCCCCCCCCCC,-4.39
143,233,366,ethanol,chlorobenzene,CCO,C1=CC=C(C=C1)Cl,-3.3
144,2352,3023,dimethylether,water,COC,O,-79.7
145,307,451,2-methylpyrazine,chloroform,CC1=NC=CN=C1,C(Cl)(Cl)Cl,-6.99
146,463,622,hydrogenperoxide,cyclohexanone,OO,C1CCC(=O)CC1,-9.11
147,1813,2258,bromoform,water,C(Br)(Br)Br,O,-1.98
148,383,534,1-propanol,cyclohexane,CCCO,C1CCCCC1,-2.73
149,1125,1408,"1,4-dioxane",isopropanol,C1COCCO1,CC(C)O,-4.49
150,2001,2601,4-aminopyridine,octanol-water,C1=CN=CC=C1N,CCCCCCCCO.O,-0.41
151,2191,2830,2-fluorophenol,methanol,C1=CC=C(C(=C1)O)F,CO,-66.0
152,177,223,uracil,butanol,C1=CNC(=O)NC1=O,CCCCO,-16.05
153,1546,1929,"1,4-dioxane",pyridine,C1COCCO1,C1=CC=NC=C1,-5.14
154,831,1081,1-butyne,hexadecane,CCC#C,CCCCCCCCCCCCCCCC,-2.07
155,744,986,1-pentanol,heptane,CCCCCO,CCCCCCC,-4.09
156,184,231,propanoicacid,butanone,CC(=O)CC(=O)NC1=CC(=C(C=C1OC)OC)Cl,CCC(=O)C,-7.05
157,1652,2084,"1,1,1-trichloroethane",undecane,CC(Cl)(Cl)Cl,CCCCCCCCCCC,-3.82
158,694,926,nitromethane,ethylacetate,C[N+](=O)[O-],CCOC(=O)C,-5.06
159,1772,2216,1-nitropropane,water,CCC[N+](=O)[O-],O,-3.34
160,1447,1782,N-methyl-2-pyrrolidinone,octanol,CN1CCCC1=O,CCCCCCCCO,-8.63
161,298,439,ethylacetate,chloroform,CCOC(=O)C,C(Cl)(Cl)Cl,-5.58
162,1889,2357,3-methylaniline,water,CC1=CC(=CC=C1)N,O,-5.67
163,859,1109,dimethylether,hexadecane,COC,CCCCCCCCCCCCCCCC,-1.49
164,1614,2039,methylamine,toluene,CN,CC1=CC=CC=C1,-2.65
165,2102,2721,acetophenone,acetonitrile,CC(=O)C1=CC=CC=C1,CC#N,-69.2
166,1562,1973,ethanol,tetrahydrofuran,CCO,C1CCOC1,-4.56
167,2024,2628,dimethylpropylsilane,octanol-water,CCC[Si](C)C,CCCCCCCCO.O,-4.38
168,1273,1584,n-octane,octanol,CCCCCCCC,CCCCCCCCO,-4.18
169,178,224,n-octane,butanone,CCCCCCCC,CCC(=O)C,-4.64
170,932,1192,1-chloropropane,hexadecane,CCCCl,CCCCCCCCCCCCCCCC,-2.86
171,1137,1421,ethylacetate,isopropylbenzene,CCOC(=O)C,CC(C)C1=CC=CC=C1,-4.22
172,1404,1727,"1,1,1-trifluoropropan-2-ol",octanol,CC(C(F)(F)F)O,CCCCCCCCO,-5.12
173,906,1164,"2,6-dimethylpyridine",hexadecane,CC1=NC(=CC=C1)C,CCCCCCCCCCCCCCCC,-5.27
174,1310,1622,1-heptanol,octanol,CCCCCCCO,CCCCCCCCO,-7.75
175,1102,1385,phenol,isooctane,C1=CC=C(C=C1)O,CC(C)CC(C)(C)C,-5.3
176,118,157,1-butanol,bromobenzene,CCCCO,C1=CC=C(C=C1)Br,-4.08
177,443,601,difluorodichloromethane,cyclohexane,C(F)(F)(Cl)Cl,C1CCCCC1,-1.81
178,1618,2043,4-methylaniline,toluene,CC1=CC=C(C=C1)N,CC1=CC=CC=C1,-7.39
179,1393,1715,1-bromobutane,octanol,CCCCBr,CCCCCCCCO,-4.16
180,2064,2672,biphenyl,octanol-water,C1=CC=C(C=C1)C2=CC=CC=C2,CCCCCCCCO.O,-5.43
181,2332,3002,3-aminoaniline,water,C1=CC(=CC(=C1)N)N,O,-65.8
182,479,644,thioanisole,decalin,CSC1=CC=CC=C1,C1CCC2CCCCC2C1,-5.54
183,2112,2735,methoxybenzene,acetonitrile,COC1=CC=CC=C1,CC#N,-70.4
184,1755,2198,pentylamine,water,CCCCCN,O,-4.1
185,527,697,2-methoxyethanol,decanol,COCCO,CCCCCCCCCCO,-5.41
186,1994,2594,"4,5-dimethyl-1,2-dithiol-3-one",octanol-water,CC1=C(SSC1=O)C,CCCCCCCCO.O,-2.36
187,1670,2102,2-methylpentane,water,CCCC(C)C,O,2.52
188,629,859,toluene,dimethylacetamide,CC1=CC=CC=C1,CC(=O)N(C)C,-4.94
189,532,702,1-propanol,dibromoethane,CCCO,CC(Br)Br,-3.82
190,366,514,"3,3-dimethylbutanone",chlorohexane,CC(=O)C(C)(C)C,CCCCCCCl,-4.98
191,1195,1496,n-octane,nitromethane,CCCCCCCC,C[N+](=O)[O-],-3.15
192,679,910,methanol,ethylacetate,CO,CCOC(=O)C,-3.37
193,2092,2711,aniline,acetonitrile,C1=CC=C(C=C1)N,CC#N,-76.8
194,1124,1407,isopropanol,isopropanol,CC(C)O,CC(C)O,-4.82
195,1576,1994,n-octane,toluene,CCCCCCCC,CC1=CC=CC=C1,-5.38
196,1135,1418,propanoicacid,isopropylbenzene,CC(=O)CC(=O)NC1=CC(=C(C=C1OC)OC)Cl,CC(C)C1=CC=CC=C1,-4.23
197,203,252,pyridine,butylacetate,C1=CC=NC=C1,CCCCCC(=O)[O-],-5.31
198,174,220,diethylamine,butanol,CCNCC,CCCCO,-5.15
199,420,577,acetonitrile,cyclohexane,CC#N,C1CCCCC1,-1.87
200,849,1099,t-butanol,hexadecane,CC(C)(C)O,CCCCCCCCCCCCCCCC,-2.74
201,120,159,phenol,bromobenzene,C1=CC=C(C=C1)O,C1=CC=C(C=C1)Br,-6.87
202,283,420,m-cresol,chloroform,CC1=CC(=CC=C1)O,C(Cl)(Cl)Cl,-6.7
203,1000,1274,1-pentanol,hexane,CCCCCO,CCCCCC,-4.38
204,1912,2421,nitroxyacetone,water,CC(=O)CO[N+](=O)[O-],O,-6.0
205,2019,2623,octamethyltrisiloxane,octanol-water,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,CCCCCCCCO.O,-6.53
206,1375,1697,chloroform,octanol,C(Cl)(Cl)Cl,CCCCCCCCO,-3.81
207,1789,2234,morpholine,water,C1COCCN1,O,-7.17
208,1647,2079,benzene,undecane,C1=CC=CC=C1,CCCCCCCCCCC,-4.05
209,275,412,1-propanol,chloroform,CCCO,C(Cl)(Cl)Cl,-4.41
210,1667,2099,n-octane,water,CCCCCCCC,O,2.89
211,2131,2757,water,dimethylsulfoxide,O,CS(=O)C,-77.0
212,360,508,5-bromouracil,chloroform,C1=C(C(=O)NC(=O)N1)Br,C(Cl)(Cl)Cl,-15.03
213,1413,1736,hydrazine,octanol,NN,CCCCCCCCO,-3.44
214,530,700,methanol,dibromoethane,CO,CC(Br)Br,-2.38
215,1471,1811,N-(2-hydroxyphenyl)acetamide,octanol,CC(=O)NC1=CC=CC=C1O,CCCCCCCCO,-12.59
216,1510,1881,o-cresol,pentanol,CC1=CC=CC=C1O,CCCCCO,-8.57
217,1723,2158,butanal,water,CCCC=O,O,-3.18
218,693,925,1-octanol,ethylacetate,CCCCCCCCO,CCOC(=O)C,-8.41
219,1395,1717,bromobenzene,octanol,C1=CC=C(C=C1)Br,CCCCCCCCO,-5.46
220,808,1057,n-propane,hexadecane,CCC,CCCCCCCCCCCCCCCC,-1.43
221,1366,1687,thioanisole,octanol,CSC1=CC=CC=C1,CCCCCCCCO,-6.47
222,1355,1676,benzonitrile,octanol,C1=CC=C(C=C1)C#N,CCCCCCCCO,-6.09
223,286,423,"1,4-dioxane",chloroform,C1COCCO1,C(Cl)(Cl)Cl,-6.21
224,2111,2734,isobutylamine,acetonitrile,CC(C)CN,CC#N,-73.5
225,406,558,propanoicacid,cyclohexane,CC(=O)CC(=O)NC1=CC(=C(C=C1OC)OC)Cl,C1CCCCC1,-3.78
226,2110,2732,ethylamine,acetonitrile,CCN,CC#N,-76.8
227,163,207,methanol,butanol,CO,CCCCO,-4.73
228,2185,2820,3-nitrophenol,methanol,C1=CC(=CC(=C1)O)[N+](=O)[O-],CO,-58.9
229,788,1036,2-methylaniline,heptane,CC1=CC=CC=C1N,CCCCCCC,-6.28
230,423,580,nitrobenzene,cyclohexane,C1=CC=C(C=C1)[N+](=O)[O-],C1CCCCC1,-6.62
231,1605,2030,butylamine,toluene,CCCCN,CC1=CC=CC=C1,-4.33
232,800,1048,p-cresol,heptanol,CC1=CC=C(C=C1)O,CCCCCCCO,-9.16
233,1405,1728,"1,1,1,3,3,3-hexafluoropropan-2-ol",octanol,C(C(F)(F)F)(C(F)(F)F)O,CCCCCCCCO,-5.76
234,649,879,toluene,dimethylsulfoxide,CC1=CC=CC=C1,CS(=O)C,-4.42
235,65,100,propylamine,benzene,CCCN,C1=CC=CC=C1,-3.68
236,1453,1789,acetylsalicylicacid,octanol,CC(=O)OC1=CC=CC=C1C(=O)O,CCCCCCCCO,-11.56
237,1871,2326,bromotoluene,water,CC1=CC=CC=C1Br,O,-2.37
238,2281,2945,4-hydroxyphenol,water,C1=CC(=CC=C1O)O,O,-77.6
239,1193,1494,nitroethane,nitroethane,CC[N+](=O)[O-],CC[N+](=O)[O-],-5.53
240,719,955,ethylamine,ethylbenzene,CCN,CCC1=CC=CC=C1,-2.59
241,482,647,bromobenzene,decalin,C1=CC=C(C=C1)Br,C1CCC2CCCCC2C1,-5.25
242,1690,2123,1-hexyne,water,CCCCC#C,O,0.29
243,2095,2714,piperidine,acetonitrile,C1CCNCC1,CC#N,-69.2
244,472,634,propylacetate,decalin,CCCCC(=O)O,C1CCC2CCCCC2C1,-4.05
245,230,363,n-octane,chlorobenzene,CCCCCCCC,C1=CC=C(C=C1)Cl,-5.16
246,495,660,1-hexanol,decane,CCCCCCO,CCCCCCCCCC,-4.97
247,564,788,propanal,diethylether,CCC=O,CCOCC,-3.85
248,836,1086,ethylbenzene,hexadecane,CCC1=CC=CC=C1,CCCCCCCCCCCCCCCC,-5.15
249,1995,2595,"4-phenyl-1,2-dithiol-3-one",octanol-water,C1=CC=C(C=C1)C2=CSSC2=O,CCCCCCCCO.O,-3.6
250,565,789,benzaldehyde,diethylether,C1=CC=C(C=C1)C=O,CCOCC,-6.08
251,2341,3012,piperidine,water,C1CCNCC1,O,-64.2
252,1272,1583,n-heptane,octanol,CCCCCCC,CCCCCCCCO,-3.74
253,324,469,chlorobenzene,chloroform,C1=CC=C(C=C1)Cl,C(Cl)(Cl)Cl,-5.45
254,2246,2900,2-butanol,water,CCC(C)O,O,-76.3
255,374,525,cyclohexane,cyclohexane,C1CCCCC1,C1CCCCC1,-4.43
256,1991,2591,"1,2-dithiol-3-one",octanol-water,C1=CSSC1=O,CCCCCCCCO.O,-1.13
257,1351,1671,4-methylpyridine,octanol,CC1=CC=NC=C1,CCCCCCCCO,-6.6
258,1599,2021,propylacetate,toluene,CCCCC(=O)O,CC1=CC=CC=C1,-5.0
259,2270,2933,isopropanol,water,CC(C)O,O,-86.3
260,297,436,hexanoicacid,chloroform,C1=CC=C(C=C1)C[Si](Cl)(Cl)Cl,C(Cl)(Cl)Cl,-7.51
261,2334,3004,N-ethylaniline,water,CCNC1=CC=CC=C1,O,-62.2
262,1304,1616,1-pentanol,octanol,CCCCCO,CCCCCCCCO,-6.4
263,239,372,o-cresol,chlorobenzene,CC1=CC=CC=C1O,C1=CC=C(C=C1)Cl,-7.33
264,99,137,ethanol,benzonitrile,CCO,C1=CC=C(C=C1)C#N,-4.05
265,1633,2060,water,tributylphosphate,O,CCCCOP(=O)(OCCCC)OCCCC,-4.69
266,281,418,1-hexanol,chloroform,CCCCCCO,C(Cl)(Cl)Cl,-6.67
267,354,502,2-methylaniline,chloroform,CC1=CC=CC=C1N,C(Cl)(Cl)Cl,-8.23
268,596,824,1-octanol,diethylether,CCCCCCCCO,CCOCC,-7.25
269,1394,1716,1-bromopentane,octanol,CCCCCBr,CCCCCCCCO,-4.68
270,856,1106,p-cresol,hexadecane,CC1=CC=C(C=C1)O,CCCCCCCCCCCCCCCC,-5.88
271,2151,2783,4-chlorobenzoicacid,dimethylsulfoxide,C1=CC=C(C=C1)OC2=C(C=C(C=C2S(=O)(=O)N)C(=O)O)[N+](=O)[O-],CS(=O)C,-52.6
272,1170,1469,ethanol,methylformamide,CCO,CNC=O,-5.12
273,1094,1377,1-pentene,isooctane,CCCC=C,CC(C)CC(C)(C)C,-2.36
274,1702,2135,1-propanol,water,CCCO,O,-4.83
275,993,1267,o-xylene,hexane,CC1=CC=CC=C1C,CCCCCC,-5.22
276,2081,2697,butanoicacid,acetonitrile,C1=CN=C(C=C1CO)C2=NC=CC(=C2)CO,CC#N,-56.7
277,185,232,butanoicacid,butanone,C1=CN=C(C=C1CO)C2=NC=CC(=C2)CO,CCC(=O)C,-7.34
278,1729,2164,2-pentanone,water,CCCC(=O)C,O,-3.53
279,733,975,benzene,heptane,C1=CC=CC=C1,CCCCCCC,-4.0
280,1455,1791,caffeine,octanol,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,CCCCCCCCO,-12.54
281,861,1111,"1,4-dioxane",hexadecane,C1COCCO1,CCCCCCCCCCCCCCCC,-3.82
282,511,681,fluorobenzene,decane,C1=CC=C(C=C1)F,CCCCCCCCCC,-3.48
283,620,850,diethylamine,diisopropylether,CCNCC,CC(C)OC(C)C,-3.78
284,1874,2329,fluorotrichloromethane,water,C(F)(Cl)(Cl)Cl,O,0.82
285,1721,2156,acetaldehyde,water,CC=O,O,-3.5
286,952,1212,"1,1,2-trichloro-1,2,2-trifluoroethane",hexadecane,C(C(F)(Cl)Cl)(F)(F)Cl,CCCCCCCCCCCCCCCC,-2.89
287,1870,2324,3-bromopropene,water,C=CCBr,O,-0.86
288,942,1202,bromoform,hexadecane,C(Br)(Br)Br,CCCCCCCCCCCCCCCC,-5.16
