,Unnamed: 0,Solute,Solvent,SoluteSMILES,SolventSMILES,DeltaGsolv
886,1138,ethylformate,hexadecane,CCOC=O,CCCCCCCCCCCCCCCC,-2.59
157,200,propylacetate,bromooctane,CCCCC(=O)O,CCCCCCCCBr,-4.48
817,1066,2-methylpentane,hexadecane,CCCC(C)C,CCCCCCCCCCCCCCCC,-3.48
1833,2279,"1,1,1,3,3,3-hexafluoropropan-2-ol",water,C(C(F)(F)F)(C(F)(F)F)O,O,-3.77
1477,1821,iodomethane,octanol,CI,CCCCCCCCO,-3.07
891,1149,ethylamine,hexadecane,CCN,CCCCCCCCCCCCCCCC,-2.29
900,1158,2-methylpyridine,hexadecane,CC1=CC=CC=N1,CCCCCCCCCCCCCCCC,-4.68
440,597,tripropylphosphate,cyclohexane,CCOC(=O)C1=C(NC(=O)NC1C2=CC=CC=C2)C,C1CCCCC1,-7.71
636,866,toluene,dimethylformamide,CC1=CC=CC=C1,CN(C)C=O,-4.88
51,79,"1,4-dioxane",benzene,C1COCCO1,C1=CC=CC=C1,-5.21
1232,1538,1-nonanol,nonanol,CCCCCCCCCO,CCCCCCCCCO,-9.05
1344,1664,diethylamine,octanol,CCNCC,CCCCCCCCO,-4.75
1418,1741,tetrahydropyran,octanol,C1CCOCC1,CCCCCCCCO,-4.21
841,1091,anthracene,hexadecane,C1=CC=C2C=C3C=CC=CC3=CC2=C1,CCCCCCCCCCCCCCCC,-10.32
1637,2064,"1,4-dioxane",triethylamine,C1COCCO1,CCN(CC)CC,-4.41
1720,2155,anisole,water,COC1=CC=CC=C1,O,-2.45
1894,2363,hydrogenperoxide,water,OO,O,-8.58
1340,1660,propylamine,octanol,CCCN,CCCCCCCCO,-4.77
1333,1648,butanoicacid,octanol,C1=CN=C(C=C1CO)C2=NC=CC(=C2)CO,CCCCCCCCO,-7.58
1594,2012,2-heptanone,toluene,CCCCCC(=O)C,CC1=CC=CC=C1,-6.3
507,675,butylacetate,decane,CCCCCC(=O)[O-],CCCCCCCCCC,-4.66
2180,2813,ammonia,dimethylsulfoxide,N,CS(=O)C,-93.9
647,877,"2,6-dimethylpyridine",dimethylpyridine,CC1=NC(=CC=C1)C,CC1=C(N=CC=C1)C,-6.04
1284,1596,1-hexene,octanol,CCCCC=C,CCCCCCCCO,-2.94
829,1079,ethyne,hexadecane,C#C,CCCCCCCCCCCCCCCC,-0.2
1178,1477,m-cresol,nitrobenzene,CC1=CC(=CC=C1)O,C1=CC=C(C=C1)[N+](=O)[O-],-7.29
1628,2054,butanoicacid,tributylphosphate,C1=CN=C(C=C1CO)C2=NC=CC(=C2)CO,CCCCOP(=O)(OCCCC)OCCCC,-8.29
2153,2785,adenine,dimethylsulfoxide,C1=NC2=NC=NC(=C2N1)N,CS(=O)C,-56.4
1877,2333,"2,6-dichlorobenzonitrile",water,C1=CC(=C(C(=C1)Cl)C#N)Cl,O,-5.22
220,272,phenol,carbondisulfide,C1=CC=C(C=C1)O,C(=S)=S,-6.27
1828,2273,tetrachloroethene,water,C(=C(Cl)Cl)(Cl)Cl,O,0.05
416,573,3-methylpyridine,cyclohexane,CC1=CN=CC=C1,C1CCCCC1,-5.14
84,119,piperidine,benzene,C1CCNCC1,C1=CC=CC=C1,-5.03
1530,1904,ethylacetate,perfluorobenzene,CCOC(=O)C,C1(=C(C(=C(C(=C1F)F)F)F)F)F,-4.56
2040,2646,1-methyluracil,octanol-water,CN1C=CC(=O)NC1=O,CCCCCCCCO.O,1.36
109,147,2-butanone,benzylalcohol,CCC(=O)C,C1=CC=C(C=C1)CO,-4.57
2016,2620,decamethyltetrasiloxane,octanol-water,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,CCCCCCCCO.O,-7.34
1208,1509,1-hexanol,nonane,CCCCCCO,CCCCCCCCC,-4.97
290,427,acetaldehyde,chloroform,CC=O,C(Cl)(Cl)Cl,-3.65
1103,1386,1-hexanol,isooctane,CCCCCCO,CC(C)CC(C)(C)C,-5.1
432,589,chlorobenzene,cyclohexane,C1=CC=C(C=C1)Cl,C1CCCCC1,-5.1
1943,2477,iodoethane,water,CCI,O,-0.72
869,1119,pentanal,hexadecane,CCCCC=O,CCCCCCCCCCCCCCCC,-3.89
1446,1781,2-pyrrolidinone,octanol,C1CC(=O)NC1,CCCCCCCCO,-8.85
879,1129,4-heptanone,hexadecane,CCCC(=O)CCC,CCCCCCCCCCCCCCCC,-5.2
2291,2958,4-nitroaniline,water,C1=CC(=CC=C1N)[N+](=O)[O-],O,-57.4
1996,2596,"5-methyl-4-phenyl-1,2-dithiol-3-one",octanol-water,CC1=C(C(=O)SS1)C2=CC=CC=C2,CCCCCCCCO.O,-4.0
212,261,2-hexanone,butylbenzene,CCCCC(=O)C,CCCCC1=CC=CC=C1,-5.31
611,839,ethanol,diisopropylether,CCO,CC(C)OC(C)C,-3.9
787,1035,benzamide,heptane,C1=CC=C(C=C1)C(=O)N,CCCCCCC,-7.26
889,1145,butylacetate,hexadecane,CCCCCC(=O)[O-],CCCCCCCCCCCCCCCC,-4.61
1862,2314,"1,1,1,2-tetrachloroethane",water,C(C(Cl)(Cl)Cl)Cl,O,-1.15
1675,2107,cyclohexane,water,C1CCCCC1,O,1.23
18,45,"1,4-dioxane",aniline,C1COCCO1,C1=CC=C(C=C1)N,-5.65
2104,2723,benzamide,acetonitrile,C1=CC=C(C=C1)C(=O)N,CC#N,-69.7
1332,1647,propanoicacid,octanol,CC(=O)CC(=O)NC1=CC(=C(C=C1OC)OC)Cl,CCCCCCCCO,-6.86
1004,1278,p-cresol,hexane,CC1=CC=C(C=C1)O,CCCCCC,-5.86
948,1208,bromobenzene,hexadecane,C1=CC=C(C=C1)Br,CCCCCCCCCCCCCCCC,-5.51
2219,2872,N-methylaniline,methanol,CNC1=CC=CC=C1,CO,-63.5
529,699,p-bromophenol,decanol,C1=CC(=CC=C1O)Br,CCCCCCCCCCO,-10.32
76,111,m-hydroxybenzaldehyde,benzene,C1=CC(=CC(=C1)O)C=O,C1=CC=CC=C1,-9.29
410,567,ethylamine,cyclohexane,CCN,C1CCCCC1,-2.04
1525,1898,acetone,perfluorobenzene,CC(=O)C,C1(=C(C(=C(C(=C1F)F)F)F)F)F,-3.82
2296,2963,thiophenol,water,C1=CC=C(C=C1)S,O,-63.4
979,1244,formamide,hexadecane,C(=O)N,CCCCCCCCCCCCCCCC,-2.91
819,1068,"2,2,4-trimethylpentane",hexadecane,CC(C)CC(C)(C)C,CCCCCCCCCCCCCCCC,-4.24
168,212,2-butanone,butanol,CCC(=O)C,CCCCO,-4.12
407,561,ethylacetate,cyclohexane,CCOC(=O)C,C1CCCCC1,-3.56
855,1105,m-cresol,hexadecane,CC1=CC(=CC=C1)O,CCCCCCCCCCCCCCCC,-5.91
1199,1500,2-butanone,nitromethane,CCC(=O)C,C[N+](=O)[O-],-4.72
2312,2982,acetone,water,CC(=O)C,O,-66.3
219,271,ethanol,carbondisulfide,CCO,C(=S)=S,-2.72
582,808,nitrobenzene,diethylether,C1=CC=C(C=C1)[N+](=O)[O-],CCOCC,-6.85
1044,1324,phenol,hexanol,C1=CC=C(C=C1)O,CCCCCCO,-8.76
303,447,propylamine,chloroform,CCCN,C(Cl)(Cl)Cl,-4.73
1538,1921,ethanol,propanol,CCO,CCCO,-5.01
1798,2243,chloroethane,water,CCCl,O,-0.63
1669,2101,"2,2-dimethylpropane",water,CC(C)(C)C,O,2.5
2188,2825,dichloroaceticacid,methanol,B1(OC(C(O1)(C)C)(C)C)C2=C(C=CC(=C2)C(=O)OC)C,CO,-59.3
414,571,aniline,cyclohexane,C1=CC=C(C=C1)N,C1CCCCC1,-5.52
1414,1737,2-ethylpyrazine,octanol,CCC1=NC=CN=C1,CCCCCCCCO,-6.4
1677,2109,"cis-1,2-dimethylcyclohexane",water,C[C@@H]1CCCC[C@@H]1C,O,1.58
1216,1519,ethylacetate,nonane,CCOC(=O)C,CCCCCCCCC,-3.45
2243,2897,ethanol,water,CCO,O,-78.5
1844,2292,N-methylmorpholine,water,CN1CCOCC1,O,-6.34
231,364,toluene,chlorobenzene,CC1=CC=CC=C1,C1=CC=C(C=C1)Cl,-5.18
461,620,nitromethane,cyclohexanone,C[N+](=O)[O-],C1CCC(=O)CC1,-5.09
135,176,p-bromophenol,bromobenzene,C1=CC(=CC=C1O)Br,C1=CC=C(C=C1)Br,-8.49
25,53,toluene,anisole,CC1=CC=CC=C1,COC1=CC=CC=C1,-4.95
1665,2097,n-hexane,water,CCCCCC,O,2.49
786,1034,"N,N-dimethylacetamide",heptane,CC(=O)N(C)C,CCCCCCC,-4.8
1389,1711,bromoform,octanol,C(Br)(Br)Br,CCCCCCCCO,-5.62
736,978,m-xylene,heptane,CC1=CC(=CC=C1)C,CCCCCCC,-5.67
925,1185,1-fluorohexane,hexadecane,CCCCCCF,CCCCCCCCCCCCCCCC,-4.03
192,240,"1,2-ethanediol",butylacetate,C(CO)O,CCCCCC(=O)[O-],-6.27
289,426,formaldehyde,chloroform,C=O,C(Cl)(Cl)Cl,0.12
435,592,"2,2,2-trifluoroethanol",cyclohexane,C(C(F)(F)F)O,C1CCCCC1,-1.53
963,1226,tetrahydropyran,hexadecane,C1CCOCC1,CCCCCCCCCCCCCCCC,-4.08
1336,1654,ethylacetate,octanol,CCOC(=O)C,CCCCCCCCO,-4.06
2034,2639,ethylurea,octanol-water,CCNC(=O)N,CCCCCCCCO.O,1.01
1824,2269,tetrafluoromethane,water,C(F)(F)(F)F,O,3.16
741,983,ethanol,heptane,CCO,CCCCCCC,-2.15
445,603,"3,5-dibromo-4-hydroxybenzonitrile",cyclohexane,C1=C(C=C(C(=C1Br)O)Br)C#N,C1CCCCC1,-6.83
128,168,propylacetate,bromobenzene,CCCCC(=O)O,C1=CC=C(C=C1)Br,-4.93
2171,2804,succinimide,dimethylsulfoxide,C1CC(=O)NC1=O,CS(=O)C,-58.6
1681,2114,1-butene,water,CCC=C,O,1.38
1577,1995,toluene,toluene,CC1=CC=CC=C1,CC1=CC=CC=C1,-5.12
873,1123,cyclopentanone,hexadecane,C1CCC(=O)C1,CCCCCCCCCCCCCCCC,-4.39
233,366,ethanol,chlorobenzene,CCO,C1=CC=C(C=C1)Cl,-3.3
2352,3023,dimethylether,water,COC,O,-79.7
307,451,2-methylpyrazine,chloroform,CC1=NC=CN=C1,C(Cl)(Cl)Cl,-6.99
463,622,hydrogenperoxide,cyclohexanone,OO,C1CCC(=O)CC1,-9.11
1813,2258,bromoform,water,C(Br)(Br)Br,O,-1.98
383,534,1-propanol,cyclohexane,CCCO,C1CCCCC1,-2.73
1125,1408,"1,4-dioxane",isopropanol,C1COCCO1,CC(C)O,-4.49
2001,2601,4-aminopyridine,octanol-water,C1=CN=CC=C1N,CCCCCCCCO.O,-0.41
2191,2830,2-fluorophenol,methanol,C1=CC=C(C(=C1)O)F,CO,-66.0
177,223,uracil,butanol,C1=CNC(=O)NC1=O,CCCCO,-16.05
1546,1929,"1,4-dioxane",pyridine,C1COCCO1,C1=CC=NC=C1,-5.14
831,1081,1-butyne,hexadecane,CCC#C,CCCCCCCCCCCCCCCC,-2.07
744,986,1-pentanol,heptane,CCCCCO,CCCCCCC,-4.09
184,231,propanoicacid,butanone,CC(=O)CC(=O)NC1=CC(=C(C=C1OC)OC)Cl,CCC(=O)C,-7.05
1652,2084,"1,1,1-trichloroethane",undecane,CC(Cl)(Cl)Cl,CCCCCCCCCCC,-3.82
694,926,nitromethane,ethylacetate,C[N+](=O)[O-],CCOC(=O)C,-5.06
1772,2216,1-nitropropane,water,CCC[N+](=O)[O-],O,-3.34
1447,1782,N-methyl-2-pyrrolidinone,octanol,CN1CCCC1=O,CCCCCCCCO,-8.63
298,439,ethylacetate,chloroform,CCOC(=O)C,C(Cl)(Cl)Cl,-5.58
1889,2357,3-methylaniline,water,CC1=CC(=CC=C1)N,O,-5.67
859,1109,dimethylether,hexadecane,COC,CCCCCCCCCCCCCCCC,-1.49
1614,2039,methylamine,toluene,CN,CC1=CC=CC=C1,-2.65
2102,2721,acetophenone,acetonitrile,CC(=O)C1=CC=CC=C1,CC#N,-69.2
1562,1973,ethanol,tetrahydrofuran,CCO,C1CCOC1,-4.56
2024,2628,dimethylpropylsilane,octanol-water,CCC[Si](C)C,CCCCCCCCO.O,-4.38
1273,1584,n-octane,octanol,CCCCCCCC,CCCCCCCCO,-4.18
178,224,n-octane,butanone,CCCCCCCC,CCC(=O)C,-4.64
932,1192,1-chloropropane,hexadecane,CCCCl,CCCCCCCCCCCCCCCC,-2.86
1137,1421,ethylacetate,isopropylbenzene,CCOC(=O)C,CC(C)C1=CC=CC=C1,-4.22
1404,1727,"1,1,1-trifluoropropan-2-ol",octanol,CC(C(F)(F)F)O,CCCCCCCCO,-5.12
906,1164,"2,6-dimethylpyridine",hexadecane,CC1=NC(=CC=C1)C,CCCCCCCCCCCCCCCC,-5.27
1310,1622,1-heptanol,octanol,CCCCCCCO,CCCCCCCCO,-7.75
1102,1385,phenol,isooctane,C1=CC=C(C=C1)O,CC(C)CC(C)(C)C,-5.3
118,157,1-butanol,bromobenzene,CCCCO,C1=CC=C(C=C1)Br,-4.08
443,601,difluorodichloromethane,cyclohexane,C(F)(F)(Cl)Cl,C1CCCCC1,-1.81
1618,2043,4-methylaniline,toluene,CC1=CC=C(C=C1)N,CC1=CC=CC=C1,-7.39
1393,1715,1-bromobutane,octanol,CCCCBr,CCCCCCCCO,-4.16
2064,2672,biphenyl,octanol-water,C1=CC=C(C=C1)C2=CC=CC=C2,CCCCCCCCO.O,-5.43
2332,3002,3-aminoaniline,water,C1=CC(=CC(=C1)N)N,O,-65.8
479,644,thioanisole,decalin,CSC1=CC=CC=C1,C1CCC2CCCCC2C1,-5.54
2112,2735,methoxybenzene,acetonitrile,COC1=CC=CC=C1,CC#N,-70.4
1755,2198,pentylamine,water,CCCCCN,O,-4.1
527,697,2-methoxyethanol,decanol,COCCO,CCCCCCCCCCO,-5.41
1994,2594,"4,5-dimethyl-1,2-dithiol-3-one",octanol-water,CC1=C(SSC1=O)C,CCCCCCCCO.O,-2.36
1670,2102,2-methylpentane,water,CCCC(C)C,O,2.52
629,859,toluene,dimethylacetamide,CC1=CC=CC=C1,CC(=O)N(C)C,-4.94
532,702,1-propanol,dibromoethane,CCCO,CC(Br)Br,-3.82
366,514,"3,3-dimethylbutanone",chlorohexane,CC(=O)C(C)(C)C,CCCCCCCl,-4.98
1195,1496,n-octane,nitromethane,CCCCCCCC,C[N+](=O)[O-],-3.15
679,910,methanol,ethylacetate,CO,CCOC(=O)C,-3.37
2092,2711,aniline,acetonitrile,C1=CC=C(C=C1)N,CC#N,-76.8
1124,1407,isopropanol,isopropanol,CC(C)O,CC(C)O,-4.82
1576,1994,n-octane,toluene,CCCCCCCC,CC1=CC=CC=C1,-5.38
1135,1418,propanoicacid,isopropylbenzene,CC(=O)CC(=O)NC1=CC(=C(C=C1OC)OC)Cl,CC(C)C1=CC=CC=C1,-4.23
203,252,pyridine,butylacetate,C1=CC=NC=C1,CCCCCC(=O)[O-],-5.31
174,220,diethylamine,butanol,CCNCC,CCCCO,-5.15
420,577,acetonitrile,cyclohexane,CC#N,C1CCCCC1,-1.87
849,1099,t-butanol,hexadecane,CC(C)(C)O,CCCCCCCCCCCCCCCC,-2.74
120,159,phenol,bromobenzene,C1=CC=C(C=C1)O,C1=CC=C(C=C1)Br,-6.87
283,420,m-cresol,chloroform,CC1=CC(=CC=C1)O,C(Cl)(Cl)Cl,-6.7
1000,1274,1-pentanol,hexane,CCCCCO,CCCCCC,-4.38
1912,2421,nitroxyacetone,water,CC(=O)CO[N+](=O)[O-],O,-6.0
2019,2623,octamethyltrisiloxane,octanol-water,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,CCCCCCCCO.O,-6.53
1375,1697,chloroform,octanol,C(Cl)(Cl)Cl,CCCCCCCCO,-3.81
1789,2234,morpholine,water,C1COCCN1,O,-7.17
1647,2079,benzene,undecane,C1=CC=CC=C1,CCCCCCCCCCC,-4.05
275,412,1-propanol,chloroform,CCCO,C(Cl)(Cl)Cl,-4.41
1667,2099,n-octane,water,CCCCCCCC,O,2.89
2131,2757,water,dimethylsulfoxide,O,CS(=O)C,-77.0
360,508,5-bromouracil,chloroform,C1=C(C(=O)NC(=O)N1)Br,C(Cl)(Cl)Cl,-15.03
1413,1736,hydrazine,octanol,NN,CCCCCCCCO,-3.44
530,700,methanol,dibromoethane,CO,CC(Br)Br,-2.38
1471,1811,N-(2-hydroxyphenyl)acetamide,octanol,CC(=O)NC1=CC=CC=C1O,CCCCCCCCO,-12.59
1510,1881,o-cresol,pentanol,CC1=CC=CC=C1O,CCCCCO,-8.57
1723,2158,butanal,water,CCCC=O,O,-3.18
693,925,1-octanol,ethylacetate,CCCCCCCCO,CCOC(=O)C,-8.41
1395,1717,bromobenzene,octanol,C1=CC=C(C=C1)Br,CCCCCCCCO,-5.46
808,1057,n-propane,hexadecane,CCC,CCCCCCCCCCCCCCCC,-1.43
1366,1687,thioanisole,octanol,CSC1=CC=CC=C1,CCCCCCCCO,-6.47
1355,1676,benzonitrile,octanol,C1=CC=C(C=C1)C#N,CCCCCCCCO,-6.09
286,423,"1,4-dioxane",chloroform,C1COCCO1,C(Cl)(Cl)Cl,-6.21
2111,2734,isobutylamine,acetonitrile,CC(C)CN,CC#N,-73.5
406,558,propanoicacid,cyclohexane,CC(=O)CC(=O)NC1=CC(=C(C=C1OC)OC)Cl,C1CCCCC1,-3.78
2110,2732,ethylamine,acetonitrile,CCN,CC#N,-76.8
163,207,methanol,butanol,CO,CCCCO,-4.73
2185,2820,3-nitrophenol,methanol,C1=CC(=CC(=C1)O)[N+](=O)[O-],CO,-58.9
788,1036,2-methylaniline,heptane,CC1=CC=CC=C1N,CCCCCCC,-6.28
423,580,nitrobenzene,cyclohexane,C1=CC=C(C=C1)[N+](=O)[O-],C1CCCCC1,-6.62
1605,2030,butylamine,toluene,CCCCN,CC1=CC=CC=C1,-4.33
800,1048,p-cresol,heptanol,CC1=CC=C(C=C1)O,CCCCCCCO,-9.16
1405,1728,"1,1,1,3,3,3-hexafluoropropan-2-ol",octanol,C(C(F)(F)F)(C(F)(F)F)O,CCCCCCCCO,-5.76
649,879,toluene,dimethylsulfoxide,CC1=CC=CC=C1,CS(=O)C,-4.42
65,100,propylamine,benzene,CCCN,C1=CC=CC=C1,-3.68
1453,1789,acetylsalicylicacid,octanol,CC(=O)OC1=CC=CC=C1C(=O)O,CCCCCCCCO,-11.56
1871,2326,bromotoluene,water,CC1=CC=CC=C1Br,O,-2.37
2281,2945,4-hydroxyphenol,water,C1=CC(=CC=C1O)O,O,-77.6
1193,1494,nitroethane,nitroethane,CC[N+](=O)[O-],CC[N+](=O)[O-],-5.53
719,955,ethylamine,ethylbenzene,CCN,CCC1=CC=CC=C1,-2.59
482,647,bromobenzene,decalin,C1=CC=C(C=C1)Br,C1CCC2CCCCC2C1,-5.25
1690,2123,1-hexyne,water,CCCCC#C,O,0.29
2095,2714,piperidine,acetonitrile,C1CCNCC1,CC#N,-69.2
472,634,propylacetate,decalin,CCCCC(=O)O,C1CCC2CCCCC2C1,-4.05
230,363,n-octane,chlorobenzene,CCCCCCCC,C1=CC=C(C=C1)Cl,-5.16
495,660,1-hexanol,decane,CCCCCCO,CCCCCCCCCC,-4.97
564,788,propanal,diethylether,CCC=O,CCOCC,-3.85
836,1086,ethylbenzene,hexadecane,CCC1=CC=CC=C1,CCCCCCCCCCCCCCCC,-5.15
1995,2595,"4-phenyl-1,2-dithiol-3-one",octanol-water,C1=CC=C(C=C1)C2=CSSC2=O,CCCCCCCCO.O,-3.6
565,789,benzaldehyde,diethylether,C1=CC=C(C=C1)C=O,CCOCC,-6.08
2341,3012,piperidine,water,C1CCNCC1,O,-64.2
1272,1583,n-heptane,octanol,CCCCCCC,CCCCCCCCO,-3.74
324,469,chlorobenzene,chloroform,C1=CC=C(C=C1)Cl,C(Cl)(Cl)Cl,-5.45
2246,2900,2-butanol,water,CCC(C)O,O,-76.3
374,525,cyclohexane,cyclohexane,C1CCCCC1,C1CCCCC1,-4.43
1991,2591,"1,2-dithiol-3-one",octanol-water,C1=CSSC1=O,CCCCCCCCO.O,-1.13
1351,1671,4-methylpyridine,octanol,CC1=CC=NC=C1,CCCCCCCCO,-6.6
1599,2021,propylacetate,toluene,CCCCC(=O)O,CC1=CC=CC=C1,-5.0
2270,2933,isopropanol,water,CC(C)O,O,-86.3
297,436,hexanoicacid,chloroform,C1=CC=C(C=C1)C[Si](Cl)(Cl)Cl,C(Cl)(Cl)Cl,-7.51
2334,3004,N-ethylaniline,water,CCNC1=CC=CC=C1,O,-62.2
1304,1616,1-pentanol,octanol,CCCCCO,CCCCCCCCO,-6.4
239,372,o-cresol,chlorobenzene,CC1=CC=CC=C1O,C1=CC=C(C=C1)Cl,-7.33
99,137,ethanol,benzonitrile,CCO,C1=CC=C(C=C1)C#N,-4.05
1633,2060,water,tributylphosphate,O,CCCCOP(=O)(OCCCC)OCCCC,-4.69
281,418,1-hexanol,chloroform,CCCCCCO,C(Cl)(Cl)Cl,-6.67
354,502,2-methylaniline,chloroform,CC1=CC=CC=C1N,C(Cl)(Cl)Cl,-8.23
596,824,1-octanol,diethylether,CCCCCCCCO,CCOCC,-7.25
1394,1716,1-bromopentane,octanol,CCCCCBr,CCCCCCCCO,-4.68
856,1106,p-cresol,hexadecane,CC1=CC=C(C=C1)O,CCCCCCCCCCCCCCCC,-5.88
2151,2783,4-chlorobenzoicacid,dimethylsulfoxide,C1=CC=C(C=C1)OC2=C(C=C(C=C2S(=O)(=O)N)C(=O)O)[N+](=O)[O-],CS(=O)C,-52.6
1170,1469,ethanol,methylformamide,CCO,CNC=O,-5.12
1094,1377,1-pentene,isooctane,CCCC=C,CC(C)CC(C)(C)C,-2.36
1702,2135,1-propanol,water,CCCO,O,-4.83
993,1267,o-xylene,hexane,CC1=CC=CC=C1C,CCCCCC,-5.22
2081,2697,butanoicacid,acetonitrile,C1=CN=C(C=C1CO)C2=NC=CC(=C2)CO,CC#N,-56.7
185,232,butanoicacid,butanone,C1=CN=C(C=C1CO)C2=NC=CC(=C2)CO,CCC(=O)C,-7.34
1729,2164,2-pentanone,water,CCCC(=O)C,O,-3.53
733,975,benzene,heptane,C1=CC=CC=C1,CCCCCCC,-4.0
1455,1791,caffeine,octanol,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,CCCCCCCCO,-12.54
861,1111,"1,4-dioxane",hexadecane,C1COCCO1,CCCCCCCCCCCCCCCC,-3.82
511,681,fluorobenzene,decane,C1=CC=C(C=C1)F,CCCCCCCCCC,-3.48
620,850,diethylamine,diisopropylether,CCNCC,CC(C)OC(C)C,-3.78
1874,2329,fluorotrichloromethane,water,C(F)(Cl)(Cl)Cl,O,0.82
1721,2156,acetaldehyde,water,CC=O,O,-3.5
952,1212,"1,1,2-trichloro-1,2,2-trifluoroethane",hexadecane,C(C(F)(Cl)Cl)(F)(F)Cl,CCCCCCCCCCCCCCCC,-2.89
1870,2324,3-bromopropene,water,C=CCBr,O,-0.86
942,1202,bromoform,hexadecane,C(Br)(Br)Br,CCCCCCCCCCCCCCCC,-5.16
1927,2456,4-nitroaniline,water,C1=CC(=CC=C1N)[N+](=O)[O-],O,-9.45
2156,2788,benzenesulfonamide,dimethylsulfoxide,C1=CC=C(C=C1)S(=O)(=O)N,CS(=O)C,-54.6
23,51,hydrogenperoxide,aniline,OO,C1=CC=C(C=C1)N,-7.8
1800,2245,"1,1,2-trichloroethane",water,C(C(Cl)Cl)Cl,O,-1.95
1268,1579,n-propane,octanol,CCC,CCCCCCCCO,-1.26
1582,2000,1-pentanol,toluene,CCCCCO,CC1=CC=CC=C1,-5.17
2260,2920,aniline,water,C1=CC=C(C=C1)N,O,-62.9
2330,3000,3-methylaniline,water,CC1=CC(=CC=C1)N,O,-69.6
1766,2209,"2,5-dimethylpyridine",water,CC1=CN=C(C=C1)C,O,-4.72
2002,2602,4-bromopyridine,octanol-water,C1=CN=CC=C1Br,CCCCCCCCO.O,-2.1
2098,2717,hydrazine,acetonitrile,NN,CC#N,-87.7
311,455,4-methylpyridine,chloroform,CC1=CC=NC=C1,C(Cl)(Cl)Cl,-7.5
351,499,quinoline,chloroform,C1=CC=C2C(=C1)C=CC=N2,C(Cl)(Cl)Cl,-10.23
