Solute;Solvent;SoluteSMILES;SolventSMILES;DeltaGsolv
bromobenzene;bromobenzene;C1=CC=C(C=C1)Br;C1=CC=C(C=C1)Br;-6.25
3,3-dimethylbutanone;toluene;CC(=O)C(C)(C)C;CC1=CC=CC=C1;-5.0
bromobenzene;water;C1=CC=C(C=C1)Br;O;-1.46
pentanoicacid;diisopropylether;CCCCC(=O)O;CC(C)OC(C)C;-7.59
ethylacetate;bromooctane;CCOC(=O)C;CCCCCCCCBr;-3.97
3,3-dimethylbutanone;pentane;CC(=O)C(C)(C)C;CCCCC;-4.43
fluorobenzene;chloroform;C1=CC=C(C=C1)F;C(Cl)(Cl)Cl;-4.25
diethylamine;diethylether;CCNCC;CCOCC;-3.83
pyridine;diethylether;C1=CC=NC=C1;CCOCC;-4.81
butylacetate;octane;CCCCCC(=O)[O-];CCCCCCCC;-4.8
cyclohexane;hexadecane;C1CCCCC1;CCCCCCCCCCCCCCCC;-4.04
2-bromopropane;octanol;CC(C)Br;CCCCCCCCO;-3.4
methylacetate;hexane;CC(=O)OC;CCCCCC;-3.12
pentylacetate;pentadecane;CCCCCOC(=O)C;CCCCCCCCCCCCCCC;-5.18
N,N-dimethylformamide;dimethylformamide;CN(C)C=O;CN(C)C=O;-6.47
m-cresol;octane;CC1=CC(=CC=C1)O;CCCCCCCC;-5.19
2-butanone;nitroethane;CCC(=O)C;CC[N+](=O)[O-];-4.73
diethyl4-nitrophenylthiophosphonate;benzene;CC(C)(C=NOC(=O)NC)SC;C1=CC=CC=C1;-8.58
ethylbenzene;decane;CCC1=CC=CC=C1;CCCCCCCCCC;-5.25
nitrobenzene;water;C1=CC=C(C=C1)[N+](=O)[O-];O;-4.12
1-propanol;tributylphosphate;CCCO;CCCCOP(=O)(OCCCC)OCCCC;-5.42
1-pentene;water;CCCC=C;O;1.66
1,4-dioxane;chlorobenzene;C1COCCO1;C1=CC=C(C=C1)Cl;-5.08
E-1,2-dichloroethene;hexadecane;C(=CCl)Cl;CCCCCCCCCCCCCCCC;-3.11
1,4-dioxane;diisopropylether;C1COCCO1;CC(C)OC(C)C;-4.42
methylpropanoate;fluoroctane;CCC(=O)OC;CCCCCCC(C)F;-4.09
1-hexanol;bromoform;CCCCCCO;C(Br)(Br)Br;-6.2
p-cresol;cyclohexane;CC1=CC=C(C=C1)O;C1CCCCC1;-5.89
thiophene;water;C1=CSC=C1;O;-1.42
Z-1,2-dichloroethene;water;C(=CCl)Cl;O;-1.17
iodobenzene;heptane;C1=CC=C(C=C1)I;CCCCCCC;-6.27
ethylbenzene;hexanol;CCC1=CC=CC=C1;CCCCCCO;-4.54
2-pentanone;tetralin;CCCC(=O)C;C1CCC2=CC=CC=C2C1;-3.99
1,2-dimethoxyethane;octanol;COCCOC;CCCCCCCCO;-4.55
methylpentanoate;heptane;CCCCC(=O)OC;CCCCCCC;-4.92
methylbenzoate;isooctane;COC(=O)C1=CC=CC=C1;CC(C)CC(C)(C)C;-6.71
propylamine;odichlorobenzene;CCCN;C1=CC=C(C(=C1)Cl)Cl;-3.44
3,3-dimethylbutanone;tbutylbenzene;CC(=O)C(C)(C)C;CC(C)(C)C1=CC=CC=C1;-4.79
methylpropylether;octanol;CCCOC;CCCCCCCCO;-3.63
pentylacetate;hexane;CCCCCOC(=O)C;CCCCCC;-5.52
butylamine;hexanol;CCCCN;CCCCCCO;-5.5
propyne;hexadecane;CC#C;CCCCCCCCCCCCCCCC;-1.4
p-bromophenol;toluene;C1=CC(=CC=C1O)Br;CC1=CC=CC=C1;-8.7
bromoform;bromoform;C(Br)(Br)Br;C(Br)(Br)Br;-6.21
1-propanol;ethylacetate;CCCO;CCOC(=O)C;-4.9
1-heptanol;iodobenzene;CCCCCCCO;C1=CC=C(C=C1)I;-6.53
phenol;hexanol;C1=CC=C(C=C1)O;CCCCCCO;-8.76
trimethylamine;4methyl2pentanone;CN(C)C;CC(C)CC(=O)C;-2.86
phenol;chloroform;C1=CC=C(C=C1)O;C(Cl)(Cl)Cl;-7.14
2-methyl-1-nitrobenzene;cyclohexane;CC1=CC=CC=C1[N+](=O)[O-];C1CCCCC1;-6.71
propylamine;pentane;CCCN;CCCCC;-3.13
diethylether;octanol;CCOCC;CCCCCCCCO;-2.89
diethyldisulfide;hexadecane;CCSSCC;CCCCCCCCCCCCCCCC;-5.74
hydrogenperoxide;diisopropylether;OO;CC(C)OC(C)C;-6.72
acetophenone;diethylether;CC(=O)C1=CC=CC=C1;CCOCC;-6.79
methylpropanoate;chlorohexane;CCC(=O)OC;CCCCCCCl;-4.2
methylpropylether;water;CCCOC;O;-1.66
trimethylbenzene;trimethylbenzene;CC1=C(C(=CC=C1)C)C;CC1=C(C(=CC=C1)C)C;-6.47
O-ethylO'-4-bromo-2-chlorophenylS-propylphosphorothioate;octanol;CCCN(CCC)C1=C(C=C(C=C1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-];CCCCCCCCO;-10.49
methylpentanoate;hexadecane;CCCCC(=O)OC;CCCCCCCCCCCCCCCC;-4.69
1-pentanol;decane;CCCCCO;CCCCCCCCCC;-3.92
p-cresol;carbontet;CC1=CC=C(C=C1)O;C(Cl)(Cl)(Cl)Cl;-6.32
dimethyl4-bromo-2,5-dichlorophenylthiophosphate;octanol;CCOP(=S)(OCC)SCSCC;CCCCCCCCO;-12.3
bromomethane;octanol;CBr;CCCCCCCCO;-2.43
pentylacetate;cyclohexane;CCCCCOC(=O)C;C1CCCCC1;-5.71
2-octanone;water;CCCCCCC(=O)C;O;-2.88
propanoicacid;pentanol;CCC(=O)O;CCCCCO;-7.09
tetrafluoromethane;octanol;C(F)(F)(F)F;CCCCCCCCO;1.5
dipropylamine;benzene;CCCNCCC;C1=CC=CC=C1;-5.09
butylacetate;chlorohexane;CCCCCC(=O)[O-];CCCCCCCl;-5.37
1,1-diethoxyethane;water;CCOC(C)OCC;O;-3.28
propanoicacid;onitrotoluene;CCC(=O)O;CC1=CC=CC=C1[N+](=O)[O-];-5.3
propylacetate;bromobenzene;CCCOC(=O)C;C1=CC=C(C=C1)Br;-4.93
bromobenzene;hexadecane;C1=CC=C(C=C1)Br;CCCCCCCCCCCCCCCC;-5.51
3,5-dimethylpyridine;hexadecane;CC1=CC(=CN=C1)C;CCCCCCCCCCCCCCCC;-2.52
1-pentanol;diethylether;CCCCCO;CCOCC;-6.11
pentanoicacid;tributylphosphate;CCCCC(=O)O;CCCCOP(=O)(OCCCC)OCCCC;-8.82
methanol;toluene;CO;CC1=CC=CC=C1;-2.18
aniline;toluene;C1=CC=C(C=C1)N;CC1=CC=CC=C1;-6.69
2-butanone;toluene;CCC(=O)C;CC1=CC=CC=C1;-4.27
t-butylmethylether;octanol;CC(C)(C)OC;CCCCCCCCO;-3.49
2,2-dichloroethenyldimethylphosphate;water;COP(=O)(OC)OC=C(Cl)Cl;O;-6.61
m-hydroxybenzaldehyde;benzene;C1=CC(=CC(=C1)O)C=O;C1=CC=CC=C1;-9.29
nitromethane;aniline;C[N+](=O)[O-];C1=CC=C(C=C1)N;-5.11
2-butanone;propanol;CCC(=O)C;CCCO;-4.15
5-fluorouracil;diethylether;C1=C(C(=O)NC(=O)N1)F;CCOCC;-15.56
1-bromobutane;water;CCCCBr;O;-0.41
benzene;octanol;C1=CC=CC=C1;CCCCCCCCO;-3.72
1-heptanol;xylene;CCCCCCCO;CC1=CC=C(C=C1)C;-6.74
ethylphenylether;ethoxybenzene;CCOC1=CC=CC=C1;CCOC1=CC=CC=C1;-6.75
methylpropanoate;pentadecane;CCC(=O)OC;CCCCCCCCCCCCCCC;-3.35
1-propanethiol;water;CCCS;O;-1.05
dipropylamine;diethylether;CCCNCCC;CCOCC;-4.96
propionitrile;octanol;CCC#N;CCCCCCCCO;-3.66
trimethylphosphate;octanol;COP(=O)(OC)OC;CCCCCCCCO;-7.81
1-hexanol;carbontet;CCCCCCO;C(Cl)(Cl)(Cl)Cl;-5.04
propylacetate;toluene;CCCOC(=O)C;CC1=CC=CC=C1;-5.0
1-hexanol;heptane;CCCCCCO;CCCCCCC;-4.89
isopropylether;chloroform;CC(C)OC(C)C;C(Cl)(Cl)Cl;-3.78
p-cresol;dibromoethane;CC1=CC=C(C=C1)O;CC(Br)Br;-7.52
fluorobenzene;carbontet;C1=CC=C(C=C1)F;C(Cl)(Cl)(Cl)Cl;-3.64
nitrobenzene;cyclohexane;C1=CC=C(C=C1)[N+](=O)[O-];C1CCCCC1;-6.62
toluene;hexanol;CC1=CC=CC=C1;CCCCCCO;-4.27
propylacetate;pentadecane;CCCOC(=O)C;CCCCCCCCCCCCCCC;-3.91
aceticacid;cyclohexanone;CC(=O)O;C1CCC(=O)CC1;-6.43
dipropylamine;hexadecane;CCCNCCC;CCCCCCCCCCCCCCCC;-4.57
1-butanol;decane;CCCCO;CCCCCCCCCC;-3.77
2-pentanone;chlorohexane;CCCC(=O)C;CCCCCCCl;-4.84
nitromethane;mcresol;C[N+](=O)[O-];CC1=CC(=CC=C1)O;-4.73
phenol;onitrotoluene;C1=CC=C(C=C1)O;CC1=CC=CC=C1[N+](=O)[O-];-7.79
pyridine;hexane;C1=CC=NC=C1;CCCCCC;-3.81
ethanol;dimethylacetamide;CCO;CC(=O)N(C)C;-5.4
methylacetate;nonane;CC(=O)OC;CCCCCCCCC;-3.02
acetophenone;cyclohexane;CC(=O)C1=CC=CC=C1;C1CCCCC1;-6.29
ethanol;diisopropylether;CCO;CC(C)OC(C)C;-3.9
fluorotrichloromethane;water;C(F)(Cl)(Cl)Cl;O;0.82
t-butanol;octanol;CC(C)(C)O;CCCCCCCCO;-4.78
1-nitrobutane;hexane;CCCC[N+](=O)[O-];CCCCCC;-4.64
bromoethane;octanol;CCBr;CCCCCCCCO;-2.9
2,2,2-trifluoroethanol;cyclohexane;C(C(F)(F)F)O;C1CCCCC1;-1.53
isopropylbenzene;isopropylbenzene;CC(C)C1=CC=CC=C1;CC(C)C1=CC=CC=C1;-6.04
1,4-dioxane;diethylether;C1COCCO1;CCOCC;-4.67
3,3-dimethylbutanone;hexadecane;CC(=O)C(C)(C)C;CCCCCCCCCCCCCCCC;-3.94
4-amino-3,5,6-trichloropyridine-2-carboxylicacid;octanol;C1(=C(C(=NC(=C1Cl)Cl)C(=O)O)Cl)N;CCCCCCCCO;-12.37
2-methylaniline;cyclohexane;CC1=CC=CC=C1N;C1CCCCC1;-6.44
methylhexanoate;isopropylbenzene;CCCCCC(=O)OC;CC(C)C1=CC=CC=C1;-6.19
butylacetate;chloroform;CCCCCC(=O)[O-];C(Cl)(Cl)Cl;-6.71
propylacetate;chloroform;CCCOC(=O)C;C(Cl)(Cl)Cl;-6.35
mesitylene;mesitylene;CC1=CC(=CC(=C1)C)C;CC1=CC(=CC(=C1)C)C;-6.4
methylacetate;benzene;CC(=O)OC;C1=CC=CC=C1;-4.04
benzamide;heptane;C1=CC=C(C=C1)C(=O)N;CCCCCCC;-7.26
1-heptanol;octanol;CCCCCCCO;CCCCCCCCO;-7.75
n-hexadecane;hexadecane;CCCCCCCCCCCCCCCC;CCCCCCCCCCCCCCCC;-10.52
propionitrile;hexadecane;CCC#N;CCCCCCCCCCCCCCCC;-2.84
trimethylamine;chloroform;CN(C)C;C(Cl)(Cl)Cl;-3.9
toluene;diisopropylether;CC1=CC=CC=C1;CC(C)OC(C)C;-4.91
2-methyl-1-nitrobenzene;water;CC1=CC=CC=C1[N+](=O)[O-];O;-3.59
butylparaben;water;CCCCOC(=O)C1=CC=C(C=C1)O;O;-8.72
tripropylphosphate;benzene;CCCOP(=O)(OCCC)OCCC;C1=CC=CC=C1;-9.34
ethyne;hexadecane;C#C;CCCCCCCCCCCCCCCC;-0.2
1,4-dioxane;dimethylacetamide;C1COCCO1;CC(=O)N(C)C;-5.01
ethanol;cyclohexanone;CCO;C1CCC(=O)CC1;-4.41
methylpentanoate;decane;CCCCC(=O)OC;CCCCCCCCCC;-4.77
phenol;heptanol;C1=CC=C(C=C1)O;CCCCCCCO;-8.69
toluene;carbondisulfide;CC1=CC=CC=C1;C(=S)=S;-5.39
methylbenzoate;octanol;COC(=O)C1=CC=CC=C1;CCCCCCCCO;-7.26
water;toluene;O;CC1=CC=CC=C1;-1.69
cyclopentanol;diethylether;C1CCC(C1)O;CCOCC;-6.5
hexanoicacid;nitrobenzene;CCCCCC(=O)O;C1=CC=C(C=C1)[N+](=O)[O-];-7.26
acetonitrile;water;CC#N;O;-3.89
nitroxyacetone;water;CC(=O)CO[N+](=O)[O-];O;-6.0
1-propanethiol;cyclohexane;CCCS;C1CCCCC1;-3.12
S-(RS)-2-chloro-1-phthalimidoethylO,O-diethylphosphorodithioate(dialifor);water;CCOP(=S)(OCC)SC(CCl)N1C(=O)C2=CC=CC=C2C1=O;O;-5.7
methylacetate;pentane;CC(=O)OC;CCCCC;-3.13
1,4-dichlorobenzene;heptane;C1=CC(=CC=C1Cl)Cl;CCCCCCC;-5.81
trichloroethene;hexadecane;C(=C(Cl)Cl)Cl;CCCCCCCCCCCCCCCC;-4.08
2-ethylpyrazine;octanol;CCC1=NC=CN=C1;CCCCCCCCO;-6.4
methylamine;octanol;CN;CCCCCCCCO;-3.78
ethene;hexadecane;C=C;CCCCCCCCCCCCCCCC;-0.39
tetramethylsilane;octanol;C[Si](C)(C)C;CCCCCCCCO;-1.79
allylalcohol;octanol;C=CCO;CCCCCCCCO;-5.27
nitrobenzene;nitrobenzene;C1=CC=C(C=C1)[N+](=O)[O-];C1=CC=C(C=C1)[N+](=O)[O-];-7.94
1-iodobutane;water;CCCCI;O;-0.25
nitroethane;hexane;CC[N+](=O)[O-];CCCCCC;-3.19
1-heptanol;toluene;CCCCCCCO;CC1=CC=CC=C1;-6.75
1-heptanol;hexane;CCCCCCCO;CCCCCC;-5.75
acetamide;chloroform;CC(=O)N;C(Cl)(Cl)Cl;-7.05
2-methylaniline;heptane;CC1=CC=CC=C1N;CCCCCCC;-6.28
m-cresol;decanol;CC1=CC(=CC=C1)O;CCCCCCCCCCO;-8.01
dimethylether;hexadecane;COC;CCCCCCCCCCCCCCCC;-1.49
2-methylpropene;carbontet;CC(=C)C;C(Cl)(Cl)(Cl)Cl;-2.63
2-butanone;ethylbenzene;CCC(=O)C;CCC1=CC=CC=C1;-4.12
pyridine;hexadecane;C1=CC=NC=C1;CCCCCCCCCCCCCCCC;-4.1
methylhexanoate;carbontet;CCCCCC(=O)OC;C(Cl)(Cl)(Cl)Cl;-6.39
ethanol;tetralin;CCO;C1CCC2=CC=CC=C2C1;-1.54
1-decanol;hexadecane;CCCCCCCCCCO;CCCCCCCCCCCCCCCC;-7.68
2,6-dimethylpyridine;cyclohexane;CC1=NC(=CC=C1)C;C1CCCCC1;-5.51
ethylacetate;octanol;CCOC(=O)C;CCCCCCCCO;-4.06
1-butanol;chloroform;CCCCO;C(Cl)(Cl)Cl;-5.28
butylacetate;tetrachloroethene;CCCCCC(=O)[O-];C(=C(Cl)Cl)(Cl)Cl;-5.35
toluene;nonanol;CC1=CC=CC=C1;CCCCCCCCCO;-4.34
2-butanone;butanone;CCC(=O)C;CCC(=O)C;-4.5
2-chloropropane;hexadecane;CC(C)Cl;CCCCCCCCCCCCCCCC;-2.69
flurbiprofen(racemic);octanol;CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O;CCCCCCCCO;-14.1
1-nitropropane;isooctane;CCC[N+](=O)[O-];CC(C)CC(C)(C)C;-3.94
1-decanol;octanol;CCCCCCCCCCO;CCCCCCCCO;-9.88
diethylether;hexadecane;CCOCC;CCCCCCCCCCCCCCCC;-2.81
chloroform;water;C(Cl)(Cl)Cl;O;-1.07
pentylacetate;nonane;CCCCCOC(=O)C;CCCCCCCCC;-5.33
cyclopropane;octanol;C1CC1;CCCCCCCCO;-1.6
ammonia;benzene;N;C1=CC=CC=C1;-1.12
ammonia;chloroform;N;C(Cl)(Cl)Cl;-2.41
1-octanol;butylacetate;CCCCCCCCO;CCCCCC(=O)[O-];-8.17
a,a,a-trifluoro-2,6-dinitro-N,N-dipropyl-p-toluidine(trifluralin);water;CCCN(CCC)C1=C(C=C(C=C1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-];O;-3.3
1-propanol;chloroform;CCCO;C(Cl)(Cl)Cl;-4.41
thiophenol;octanol;C1=CC=C(C=C1)S;CCCCCCCCO;-5.99
2-pentanone;tbutylbenzene;CCCC(=O)C;CC(C)(C)C1=CC=CC=C1;-4.72
3,3-dimethylbutanone;tetralin;CC(=O)C(C)(C)C;C1CCC2=CC=CC=C2C1;-4.19
1,4-dioxane;hexadecane;C1COCCO1;CCCCCCCCCCCCCCCC;-3.82
S-propyldipropyl(thiocarbamate)(vernolate);water;CCCN(CCC)C(=O)SCCC;O;-4.1
ammonia;water;N;O;-4.29
acetophenone;dodecane;CC(=O)C1=CC=CC=C1;CCCCCCCCCCCC;-6.11
acetone;isopropylbenzene;CC(=O)C;CC(C)C1=CC=CC=C1;-3.32
propylacetate;chlorobenzene;CCCOC(=O)C;C1=CC=C(C=C1)Cl;-5.15
butylacetate;chlorobenzene;CCCCCC(=O)[O-];C1=CC=C(C=C1)Cl;-5.74
methylpropanoate;tbutylbenzene;CCC(=O)OC;CC(C)(C)C1=CC=CC=C1;-4.17
butylamine;perfluorobenzene;CCCCN;C1(=C(C(=C(C(=C1F)F)F)F)F)F;-4.13
propylacetate;hexane;CCCOC(=O)C;CCCCCC;-4.1
p-hydroxybenzaldehyde;octanol;C1=CC(=CC=C1C=O)O;CCCCCCCCO;-12.36
chlorobenzene;chloroform;C1=CC=C(C=C1)Cl;C(Cl)(Cl)Cl;-5.45
butanal;hexadecane;CCCC=O;CCCCCCCCCCCCCCCC;-3.1
1-iodobutane;hexadecane;CCCCI;CCCCCCCCCCCCCCCC;-4.95
acetophenone;acetophenone;CC(=O)C1=CC=CC=C1;CC(=O)C1=CC=CC=C1;-7.59
1-propanol;pentane;CCCO;CCCCC;-2.76
phenol;dibromoethane;C1=CC=C(C=C1)O;CC(Br)Br;-7.22
hexanoicacid;toluene;CCCCCC(=O)O;CC1=CC=CC=C1;-6.97
2-heptanone;toluene;CCCCCC(=O)C;CC1=CC=CC=C1;-6.3
propanoicacid;water;CCC(=O)O;O;-6.47
aceticacid;carbontet;CC(=O)O;C(Cl)(Cl)(Cl)Cl;-3.64
phenol;benzene;C1=CC=C(C=C1)O;C1=CC=CC=C1;-7.12
dimethylamine;chlorobenzene;CNC;C1=CC=C(C=C1)Cl;-2.75
butylacetate;bromooctane;CCCCCC(=O)[O-];CCCCCCCCBr;-5.11
p-cresol;bromobenzene;CC1=CC=C(C=C1)O;C1=CC=C(C=C1)Br;-7.12
ethanol;fluorobenzene;CCO;C1=CC=C(C=C1)F;-3.45
2-butanone;triethylamine;CCC(=O)C;CCN(CC)CC;-3.86
1,4-dioxane;ethanol;C1COCCO1;CCO;-4.68
ethanol;nitromethane;CCO;C[N+](=O)[O-];-4.16
4-methylaniline;toluene;CC1=CC=C(C=C1)N;CC1=CC=CC=C1;-7.39
p-bromophenol;pentanol;C1=CC(=CC=C1O)Br;CCCCCO;-10.62
toluene;water;CC1=CC=CC=C1;O;-0.89
nitromethane;chlorobenzene;C[N+](=O)[O-];C1=CC=C(C=C1)Cl;-4.32
2,6-dimethylpyridine;benzene;CC1=NC(=CC=C1)C;C1=CC=CC=C1;-6.39
naphthalene;hexadecane;C1=CC=C2C=CC=CC2=C1;CCCCCCCCCCCCCCCC;-7.29
iodomethane;hexadecane;CI;CCCCCCCCCCCCCCCC;-2.88
1-bromopropane;water;CCCBr;O;-0.56
p-hydroxybenzaldehyde;diisopropylether;C1=CC(=CC=C1C=O)O;CC(C)OC(C)C;-11.63
1-propanol;carbontet;CCCO;C(Cl)(Cl)(Cl)Cl;-3.64
trichloro(nitro)methane(chloropicrin);water;C([N+](=O)[O-])(Cl)(Cl)Cl;O;-1.5
m-xylene;cyclohexane;CC1=CC(=CC=C1)C;C1CCCCC1;-5.52
1-heptanol;cyclohexane;CCCCCCCO;C1CCCCC1;-6.02
octachloro-4,7-methanohydroindane(chlordane);water;C1C2C(C(C1Cl)Cl)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl;O;-3.4
2-pentanone;water;CCCC(=O)C;O;-3.53
2-pentanone;isopropylbenzene;CCCC(=O)C;CC(C)C1=CC=CC=C1;-4.84
n-octane;tetrahydrothiophenedioxide;CCCCCCCC;C1CCS(=O)(=O)C1;-2.44
2-methylpropane;water;CC(C)C;O;2.32
n-octane;butanol;CCCCCCCC;CCCCO;-4.45
4-methoxybenzoicacid;octanol;COC1=CC=C(C=C1)C(=O)O;CCCCCCCCO;-11.82
methylformate;octanol;COC=O;CCCCCCCCO;-2.82
toluene;heptane;CC1=CC=CC=C1;CCCCCCC;-4.78
2,2'-dichlorobiphenyl;octanol;C1=CC=C(C(=C1)C2=CC=CC=C2Cl)Cl;CCCCCCCCO;-9.41
1,1-dichloro-2,2-difluoroethylmethylether;octanol;CC1=CC(=O)CC(C1)(C)C;CCCCCCCCO;-4.02
urea;hexadecane;C(=O)(N)N;CCCCCCCCCCCCCCCC;-6.37
5-fluorouracil;heptane;C1=C(C(=O)NC(=O)N1)F;CCCCCCC;-11.28
ethanol;tetrahydrothiophenedioxide;CCO;C1CCS(=O)(=O)C1;-4.3
nitromethane;fluorobenzene;C[N+](=O)[O-];C1=CC=C(C=C1)F;-4.62
m-xylene;isooctane;CC1=CC(=CC=C1)C;CC(C)CC(C)(C)C;-5.12
water;xylene;O;CC1=CC=C(C=C1)C;-1.56
diethylamine;isobutanol;CCNCC;CC(C)CO;-4.86
morpholine;octanol;C1COCCN1;CCCCCCCCO;-5.99
N-methylaniline;octanol;CNC1=CC=CC=C1;CCCCCCCCO;-6.94
formamide;octanol;C(=O)N;CCCCCCCCO;-7.8
nitrobenzene;octanol;C1=CC=C(C=C1)[N+](=O)[O-];CCCCCCCCO;-6.63
2-butanone;carbontet;CCC(=O)C;C(Cl)(Cl)(Cl)Cl;-4.09
5-fluorouracil;octanol;C1=C(C(=O)NC(=O)N1)F;CCCCCCCCO;-15.71
p-cresol;octane;CC1=CC=C(C=C1)O;CCCCCCCC;-6.19
propylamine;heptane;CCCN;CCCCCCC;-3.03
1-propanol;cyclohexane;CCCO;C1CCCCC1;-2.73
methylacetate;hexadecane;CC(=O)OC;CCCCCCCCCCCCCCCC;-2.67
toluene;triethylamine;CC1=CC=CC=C1;CCN(CC)CC;-4.98
naphthalene;heptane;C1=CC=C2C=CC=CC2=C1;CCCCCCC;-7.02
methylpentanoate;chlorohexane;CCCCC(=O)OC;CCCCCCCl;-5.41
diethyl4-nitrophenylthiophosphonate;octanol;CC(C)(C=NOC(=O)NC)SC;CCCCCCCCO;-11.31
benzonitrile;octanol;C1=CC=C(C=C1)C#N;CCCCCCCCO;-6.09
1,4-dioxane;ethylacetate;C1COCCO1;CCOC(=O)C;-5.03
methylpentanoate;benzene;CCCCC(=O)OC;C1=CC=CC=C1;-5.83
1-hexanol;dichloroethane;CCCCCCO;CC(Cl)Cl;-6.02
nitromethane;hexadecane;C[N+](=O)[O-];CCCCCCCCCCCCCCCC;-2.58
water;carbontet;O;C(Cl)(Cl)(Cl)Cl;-0.85
methylacetate;octane;CC(=O)OC;CCCCCCCC;-3.06
ethylamine;nonanol;CCN;CCCCCCCCCO;-4.02
2,2,4-trimethylpentane;water;CC(C)CC(C)(C)C;O;2.85
butylamine;tetrachloroethene;CCCCN;C(=C(Cl)Cl)(Cl)Cl;-4.49
1-pentanol;ethylacetate;CCCCCO;CCOC(=O)C;-6.13
p-bromophenol;hexanol;C1=CC(=CC=C1O)Br;CCCCCCO;-10.51
aniline;pentane;C1=CC=C(C=C1)N;CCCCC;-5.15
butanoicacid;pentanol;CCCC(=O)O;CCCCCO;-7.74
n-pentadecane;pentadecane;CCCCCCCCCCCCCCC;CCCCCCCCCCCCCCC;-9.91
n-octane;dimethylformamide;CCCCCCCC;CN(C)C=O;-3.77
propylacetate;perfluorobenzene;CCCOC(=O)C;C1(=C(C(=C(C(=C1F)F)F)F)F)F;-5.06
methyl3-methyl-4-thiomethoxyphenylthiophosphate;water;CO[PH](O)([S])Oc1ccc(SC)c(C)c1;O;-6.92
