,Solute,Solvent,SoluteSMILES,SolventSMILES,DeltaGsolv
53,toluene,anisole,CC1=CC=CC=C1,COC1=CC=CC=C1,-4.95
54,ethanol,anisole,CCO,COC1=CC=CC=C1,-3.59
55,"1,4-dioxane",anisole,C1COCCO1,COC1=CC=CC=C1,-5.06
56,anisole,anisole,COC1=CC=CC=C1,COC1=CC=CC=C1,-6.33
57,2-butanone,anisole,CCC(=O)C,COC1=CC=CC=C1,-4.43
58,butylamine,anisole,CCCCN,COC1=CC=CC=C1,-4.44
59,nitromethane,anisole,C[N+](=O)[O-],COC1=CC=CC=C1,-4.69
60,n-pentane,benzene,CCCCC,C1=CC=CC=C1,-2.99
61,n-hexane,benzene,CCCCCC,C1=CC=CC=C1,-3.62
62,n-octane,benzene,CCCCCCCC,C1=CC=CC=C1,-5.35
63,cyclohexane,benzene,C1CCCCC1,C1=CC=CC=C1,-4.05
64,benzene,benzene,C1=CC=CC=C1,C1=CC=CC=C1,-4.55
65,toluene,benzene,CC1=CC=CC=C1,C1=CC=CC=C1,-5.32
66,methanol,benzene,CO,C1=CC=CC=C1,-2.58
67,ethanol,benzene,CCO,C1=CC=CC=C1,-3.42
68,1-propanol,benzene,CCCO,C1=CC=CC=C1,-3.87
69,isopropanol,benzene,CC(C)O,C1=CC=CC=C1,-3.48
70,1-butanol,benzene,CCCCO,C1=CC=CC=C1,-4.45
71,t-butanol,benzene,CC(C)(C)O,C1=CC=CC=C1,-3.7
72,1-pentanol,benzene,CCCCCO,C1=CC=CC=C1,-5.1
73,phenol,benzene,C1=CC=C(C=C1)O,C1=CC=CC=C1,-7.12
74,1-hexanol,benzene,CCCCCCO,C1=CC=CC=C1,-6.13
75,o-cresol,benzene,CC1=CC=CC=C1O,C1=CC=CC=C1,-7.44
76,m-cresol,benzene,CC1=CC(=CC=C1)O,C1=CC=CC=C1,-6.66
77,p-cresol,benzene,CC1=CC=C(C=C1)O,C1=CC=CC=C1,-7.35
78,1-heptanol,benzene,CCCCCCCO,C1=CC=CC=C1,-6.85
79,"1,4-dioxane",benzene,C1COCCO1,C1=CC=CC=C1,-5.21
80,acetone,benzene,CC(=O)C,C1=CC=CC=C1,-3.79
81,2-butanone,benzene,CCC(=O)C,C1=CC=CC=C1,-4.46
82,2-pentanone,benzene,CCCC(=O)C,C1=CC=CC=C1,-5.14
83,2-hexanone,benzene,CCCCC(=O)C,C1=CC=CC=C1,-5.76
84,2-heptanone,benzene,CCCCCC(=O)C,C1=CC=CC=C1,-6.36
86,propanoicacid,benzene,CC(=O)CC(=O)NC1=CC(=C(C=C1OC)OC)Cl,C1=CC=CC=C1,-4.75
87,butanoicacid,benzene,C1=CN=C(C=C1CO)C2=NC=CC(=C2)CO,C1=CC=CC=C1,-5.3
89,hexanoicacid,benzene,C1=CC=C(C=C1)C[Si](Cl)(Cl)Cl,C1=CC=CC=C1,-6.94
92,ethylacetate,benzene,CCOC(=O)C,C1=CC=CC=C1,-4.53
93,propylacetate,benzene,CCCCC(=O)O,C1=CC=CC=C1,-5.21
95,butylacetate,benzene,CCCCCC(=O)[O-],C1=CC=CC=C1,-5.78
98,ethylamine,benzene,CCN,C1=CC=CC=C1,-2.73
99,dimethylamine,benzene,CNC,C1=CC=CC=C1,-3.01
100,propylamine,benzene,CCCN,C1=CC=CC=C1,-3.68
101,trimethylamine,benzene,CN(C)C,C1=CC=CC=C1,-2.8
102,diethylamine,benzene,CCNCC,C1=CC=CC=C1,-4.02
103,dipropylamine,benzene,CCCNCCC,C1=CC=CC=C1,-5.09
104,pyridine,benzene,C1=CC=NC=C1,C1=CC=CC=C1,-5.28
105,aniline,benzene,C1=CC=C(C=C1)N,C1=CC=CC=C1,-6.88
106,2-methylpyridine,benzene,CC1=CC=CC=N1,C1=CC=CC=C1,-5.86
107,4-methylpyridine,benzene,CC1=CC=NC=C1,C1=CC=CC=C1,-6.17
108,N-methylaniline,benzene,CNC1=CC=CC=C1,C1=CC=CC=C1,-6.64
109,"2,6-dimethylpyridine",benzene,CC1=NC(=CC=C1)C,C1=CC=CC=C1,-6.39
110,nitrobenzene,benzene,C1=CC=C(C=C1)[N+](=O)[O-],C1=CC=CC=C1,-7.6
111,m-hydroxybenzaldehyde,benzene,C1=CC(=CC(=C1)O)C=O,C1=CC=CC=C1,-9.29
112,p-hydroxybenzaldehyde,benzene,C1=CC(=CC=C1C=O)O,C1=CC=CC=C1,-9.73
113,p-bromophenol,benzene,C1=CC(=CC=C1O)Br,C1=CC=CC=C1,-8.81
114,ammonia,benzene,N,C1=CC=CC=C1,-1.12
115,water,benzene,O,C1=CC=CC=C1,-1.71
116,trimethylphosphate,benzene,COP(=O)(OC)OC,C1=CC=CC=C1,-8.02
117,triethylphosphate,benzene,CCOP(=O)(OCC)OCC,C1=CC=CC=C1,-8.58
118,tripropylphosphate,benzene,CCOC(=O)C1=C(NC(=O)NC1C2=CC=CC=C2)C,C1=CC=CC=C1,-9.34
119,piperidine,benzene,C1CCNCC1,C1=CC=CC=C1,-5.03
120,methylamine,benzene,CN,C1=CC=CC=C1,-2.66
121,hydrazine,benzene,NN,C1=CC=CC=C1,-4.02
122,1-octanol,benzene,CCCCCCCCO,C1=CC=CC=C1,-8.06
123,methylbenzoate,benzene,COC(=O)C1=CC=CC=C1,C1=CC=CC=C1,-6.27
124,"1,1-dimethyl-3-phenylurea",benzene,CN(C)C(=O)NC1=CC=CC=C1,C1=CC=CC=C1,-12.18
128,nitromethane,benzene,C[N+](=O)[O-],C1=CC=CC=C1,-4.5
129,"3,5-dimethylpyridine",benzene,CC1=CC(=CN=C1)C,C1=CC=CC=C1,-7.64
130,benzamide,benzene,C1=CC=C(C=C1)C(=O)N,C1=CC=CC=C1,-9.93
131,2-methylaniline,benzene,CC1=CC=CC=C1N,C1=CC=CC=C1,-7.37
132,3-methylaniline,benzene,CC1=CC(=CC=C1)N,C1=CC=CC=C1,-7.61
133,4-methylaniline,benzene,CC1=CC=C(C=C1)N,C1=CC=CC=C1,-7.59
134,hydrogenperoxide,benzene,OO,C1=CC=CC=C1,-4.77
135,n-octane,benzonitrile,CCCCCCCC,C1=CC=C(C=C1)C#N,-4.34
136,toluene,benzonitrile,CC1=CC=CC=C1,C1=CC=C(C=C1)C#N,-4.95
137,ethanol,benzonitrile,CCO,C1=CC=C(C=C1)C#N,-4.05
138,"1,4-dioxane",benzonitrile,C1COCCO1,C1=CC=C(C=C1)C#N,-5.14
139,2-butanone,benzonitrile,CCC(=O)C,C1=CC=C(C=C1)C#N,-4.58
140,benzonitrile,benzonitrile,C1=CC=C(C=C1)C#N,C1=CC=C(C=C1)C#N,-7.28
141,nitromethane,benzonitrile,C[N+](=O)[O-],C1=CC=C(C=C1)C#N,-5.05
142,n-octane,benzylalcohol,CCCCCCCC,C1=CC=C(C=C1)CO,-3.77
143,toluene,benzylalcohol,CC1=CC=CC=C1,C1=CC=C(C=C1)CO,-4.46
144,ethanol,benzylalcohol,CCO,C1=CC=C(C=C1)CO,-4.84
145,"1,4-dioxane",benzylalcohol,C1COCCO1,C1=CC=C(C=C1)CO,-5.39
146,formaldehyde,benzylalcohol,C=O,C1=CC=C(C=C1)CO,-3.48
147,2-butanone,benzylalcohol,CCC(=O)C,C1=CC=C(C=C1)CO,-4.57
149,butylamine,benzylalcohol,CCCCN,C1=CC=C(C=C1)CO,-5.15
150,nitromethane,benzylalcohol,C[N+](=O)[O-],C1=CC=C(C=C1)CO,-4.53
151,benzylalcohol,benzylalcohol,C1=CC=C(C=C1)CO,C1=CC=C(C=C1)CO,-8.61
152,n-octane,bromobenzene,CCCCCCCC,C1=CC=C(C=C1)Br,-5.02
153,toluene,bromobenzene,CC1=CC=CC=C1,C1=CC=C(C=C1)Br,-5.13
154,methanol,bromobenzene,CO,C1=CC=C(C=C1)Br,-2.31
155,ethanol,bromobenzene,CCO,C1=CC=C(C=C1)Br,-3.26
156,1-propanol,bromobenzene,CCCO,C1=CC=C(C=C1)Br,-3.74
157,1-butanol,bromobenzene,CCCCO,C1=CC=C(C=C1)Br,-4.08
158,1-pentanol,bromobenzene,CCCCCO,C1=CC=C(C=C1)Br,-5.06
159,phenol,bromobenzene,C1=CC=C(C=C1)O,C1=CC=C(C=C1)Br,-6.87
160,1-hexanol,bromobenzene,CCCCCCO,C1=CC=C(C=C1)Br,-5.92
161,o-cresol,bromobenzene,CC1=CC=CC=C1O,C1=CC=C(C=C1)Br,-7.26
162,p-cresol,bromobenzene,CC1=CC=C(C=C1)O,C1=CC=C(C=C1)Br,-7.12
163,1-heptanol,bromobenzene,CCCCCCCO,C1=CC=C(C=C1)Br,-6.68
164,"1,4-dioxane",bromobenzene,C1COCCO1,C1=CC=C(C=C1)Br,-5.02
165,2-butanone,bromobenzene,CCC(=O)C,C1=CC=C(C=C1)Br,-4.37
167,ethylacetate,bromobenzene,CCOC(=O)C,C1=CC=C(C=C1)Br,-4.57
168,propylacetate,bromobenzene,CCCCC(=O)O,C1=CC=C(C=C1)Br,-4.93
169,butylacetate,bromobenzene,CCCCCC(=O)[O-],C1=CC=C(C=C1)Br,-5.58
171,ethylamine,bromobenzene,CCN,C1=CC=C(C=C1)Br,-2.73
172,propylamine,bromobenzene,CCCN,C1=CC=C(C=C1)Br,-3.57
173,butylamine,bromobenzene,CCCCN,C1=CC=C(C=C1)Br,-4.22
174,aniline,bromobenzene,C1=CC=C(C=C1)N,C1=CC=C(C=C1)Br,-6.66
175,bromobenzene,bromobenzene,C1=CC=C(C=C1)Br,C1=CC=C(C=C1)Br,-6.25
176,p-bromophenol,bromobenzene,C1=CC(=CC=C1O)Br,C1=CC=C(C=C1)Br,-8.49
177,nitromethane,bromobenzene,C[N+](=O)[O-],C1=CC=C(C=C1)Br,-4.25
178,4-methylaniline,bromobenzene,CC1=CC=C(C=C1)N,C1=CC=C(C=C1)Br,-7.59
179,n-octane,bromoethane,CCCCCCCC,CCBr,-5.54
180,toluene,bromoethane,CC1=CC=CC=C1,CCBr,-5.55
181,"1,4-dioxane",bromoethane,C1COCCO1,CCBr,-5.39
182,2-butanone,bromoethane,CCC(=O)C,CCBr,-5.13
183,propanoicacid,bromoethane,CC(=O)CC(=O)NC1=CC(=C(C=C1OC)OC)Cl,CCBr,-5.52
184,bromoethane,bromoethane,CCBr,CCBr,-3.67
185,nitromethane,bromoethane,C[N+](=O)[O-],CCBr,-4.54
186,methanol,bromoform,CO,C(Br)(Br)Br,-2.79
187,ethanol,bromoform,CCO,C(Br)(Br)Br,-3.24
188,1-propanol,bromoform,CCCO,C(Br)(Br)Br,-4.03
189,1-butanol,bromoform,CCCCO,C(Br)(Br)Br,-4.72
190,1-pentanol,bromoform,CCCCCO,C(Br)(Br)Br,-5.34
191,phenol,bromoform,C1=CC=C(C=C1)O,C(Br)(Br)Br,-6.88
192,1-hexanol,bromoform,CCCCCCO,C(Br)(Br)Br,-6.2
193,o-cresol,bromoform,CC1=CC=CC=C1O,C(Br)(Br)Br,-7.45
194,1-heptanol,bromoform,CCCCCCCO,C(Br)(Br)Br,-7.1
196,bromoform,bromoform,C(Br)(Br)Br,C(Br)(Br)Br,-6.21
197,p-bromophenol,bromoform,C1=CC(=CC=C1O)Br,C(Br)(Br)Br,-8.49
199,ethylacetate,bromooctane,CCOC(=O)C,CCCCCCCCBr,-3.97
200,propylacetate,bromooctane,CCCCC(=O)O,CCCCCCCCBr,-4.48
201,butylacetate,bromooctane,CCCCCC(=O)[O-],CCCCCCCCBr,-5.11
203,n-octane,butanol,CCCCCCCC,CCCCO,-4.45
204,benzene,butanol,C1=CC=CC=C1,CCCCO,-3.39
205,toluene,butanol,CC1=CC=CC=C1,CCCCO,-4.5
206,ethylbenzene,butanol,CCC1=CC=CC=C1,CCCCO,-4.46
207,methanol,butanol,CO,CCCCO,-4.73
208,ethanol,butanol,CCO,CCCCO,-5.02
209,"1,2-ethanediol",butanol,C(CO)O,CCCCO,-8.69
210,1-butanol,butanol,CCCCO,CCCCO,-6.03
211,formaldehyde,butanol,C=O,CCCCO,-3.49
212,2-butanone,butanol,CCC(=O)C,CCCCO,-4.12
214,propanoicacid,butanol,CC(=O)CC(=O)NC1=CC(=C(C=C1OC)OC)Cl,CCCCO,-7.17
215,butanoicacid,butanol,C1=CN=C(C=C1CO)C2=NC=CC(=C2)CO,CCCCO,-7.66
217,hexanoicacid,butanol,C1=CC=C(C=C1)C[Si](Cl)(Cl)Cl,CCCCO,-8.75
218,ethylamine,butanol,CCN,CCCCO,-4.5
219,propylamine,butanol,CCCN,CCCCO,-5.04
220,diethylamine,butanol,CCNCC,CCCCO,-5.15
221,nitromethane,butanol,C[N+](=O)[O-],CCCCO,-3.93
222,hydrogenperoxide,butanol,OO,CCCCO,-7.94
223,uracil,butanol,C1=CNC(=O)NC1=O,CCCCO,-16.05
224,n-octane,butanone,CCCCCCCC,CCC(=O)C,-4.64
225,toluene,butanone,CC1=CC=CC=C1,CCC(=O)C,-5.06
226,ethanol,butanone,CCO,CCC(=O)C,-4.46
227,"1,4-dioxane",butanone,C1COCCO1,CCC(=O)C,-5.02
228,formaldehyde,butanone,C=O,CCC(=O)C,-1.77
229,2-butanone,butanone,CCC(=O)C,CCC(=O)C,-4.5
231,propanoicacid,butanone,CC(=O)CC(=O)NC1=CC(=C(C=C1OC)OC)Cl,CCC(=O)C,-7.05
232,butanoicacid,butanone,C1=CN=C(C=C1CO)C2=NC=CC(=C2)CO,CCC(=O)C,-7.34
234,hexanoicacid,butanone,C1=CC=C(C=C1)C[Si](Cl)(Cl)Cl,CCC(=O)C,-8.07
235,nitromethane,butanone,C[N+](=O)[O-],CCC(=O)C,-5.24
236,g-butyrolactone,butanone,C1CC(=O)OC1,CCC(=O)C,-4.47
237,naphthalene,butylacetate,C1=CC=C2C=CC=CC2=C1,CCCCCC(=O)[O-],-7.59
238,methanol,butylacetate,CO,CCCCCC(=O)[O-],-3.04
239,ethanol,butylacetate,CCO,CCCCCC(=O)[O-],-3.97
240,"1,2-ethanediol",butylacetate,C(CO)O,CCCCCC(=O)[O-],-6.27
241,1-propanol,butylacetate,CCCO,CCCCCC(=O)[O-],-4.52
242,1-butanol,butylacetate,CCCCO,CCCCCC(=O)[O-],-5.23
243,1-pentanol,butylacetate,CCCCCO,CCCCCC(=O)[O-],-5.78
244,phenol,butylacetate,C1=CC=C(C=C1)O,CCCCCC(=O)[O-],-8.96
245,1-hexanol,butylacetate,CCCCCCO,CCCCCC(=O)[O-],-6.62
246,o-cresol,butylacetate,CC1=CC=CC=C1O,CCCCCC(=O)[O-],-8.9
247,m-cresol,butylacetate,CC1=CC(=CC=C1)O,CCCCCC(=O)[O-],-8.44
248,p-cresol,butylacetate,CC1=CC=C(C=C1)O,CCCCCC(=O)[O-],-9.28
249,1-heptanol,butylacetate,CCCCCCCO,CCCCCC(=O)[O-],-7.14
251,butylacetate,butylacetate,CCCCCC(=O)[O-],CCCCCC(=O)[O-],-5.52
252,pyridine,butylacetate,C1=CC=NC=C1,CCCCCC(=O)[O-],-5.31
253,aniline,butylacetate,C1=CC=C(C=C1)N,CCCCCC(=O)[O-],-7.3
254,p-bromophenol,butylacetate,C1=CC(=CC=C1O)Br,CCCCCC(=O)[O-],-10.57
255,water,butylacetate,O,CCCCCC(=O)[O-],-4.13
256,1-octanol,butylacetate,CCCCCCCCO,CCCCCC(=O)[O-],-8.17
257,4-methylaniline,butylacetate,CC1=CC=C(C=C1)N,CCCCCC(=O)[O-],-7.81
258,hydrogenperoxide,butylacetate,OO,CCCCCC(=O)[O-],-6.76
259,phenol,butylbenzene,C1=CC=C(C=C1)O,CCCCC1=CC=CC=C1,-6.76
260,2-pentanone,butylbenzene,CCCC(=O)C,CCCCC1=CC=CC=C1,-4.74
261,2-hexanone,butylbenzene,CCCCC(=O)C,CCCCC1=CC=CC=C1,-5.31
262,"3,3-dimethylbutanone",butylbenzene,CC(=O)C(C)(C)C,CCCCC1=CC=CC=C1,-4.77
263,2-heptanone,butylbenzene,CCCCCC(=O)C,CCCCC1=CC=CC=C1,-5.93
266,butylacetate,butylbenzene,CCCCCC(=O)[O-],CCCCC1=CC=CC=C1,-5.28
268,butylbenzene,butylbenzene,CCCCC1=CC=CC=C1,CCCCC1=CC=CC=C1,-6.86
269,n-octane,carbondisulfide,CCCCCCCC,C(=S)=S,-5.68
270,toluene,carbondisulfide,CC1=CC=CC=C1,C(=S)=S,-5.39
271,ethanol,carbondisulfide,CCO,C(=S)=S,-2.72
272,phenol,carbondisulfide,C1=CC=C(C=C1)O,C(=S)=S,-6.27
273,"1,4-dioxane",carbondisulfide,C1COCCO1,C(=S)=S,-4.67
274,acetone,carbondisulfide,CC(=O)C,C(=S)=S,-3.14
275,2-butanone,carbondisulfide,CCC(=O)C,C(=S)=S,-3.85
278,ethylacetate,carbondisulfide,CCOC(=O)C,C(=S)=S,-4.08
279,propylacetate,carbondisulfide,CCCCC(=O)O,C(=S)=S,-4.63
280,1-nitropropane,carbondisulfide,CCC[N+](=O)[O-],C(=S)=S,-4.5
281,nitromethane,carbondisulfide,C[N+](=O)[O-],C(=S)=S,-3.3
282,carbondisulfide,carbondisulfide,C(=S)=S,C(=S)=S,-3.95
283,hydrogenperoxide,carbondisulfide,OO,C(=S)=S,-3.14
363,n-octane,chlorobenzene,CCCCCCCC,C1=CC=C(C=C1)Cl,-5.16
364,toluene,chlorobenzene,CC1=CC=CC=C1,C1=CC=C(C=C1)Cl,-5.18
365,methanol,chlorobenzene,CO,C1=CC=C(C=C1)Cl,-2.44
366,ethanol,chlorobenzene,CCO,C1=CC=C(C=C1)Cl,-3.3
367,1-propanol,chlorobenzene,CCCO,C1=CC=C(C=C1)Cl,-3.82
368,1-butanol,chlorobenzene,CCCCO,C1=CC=C(C=C1)Cl,-4.31
369,1-pentanol,chlorobenzene,CCCCCO,C1=CC=C(C=C1)Cl,-5.25
370,phenol,chlorobenzene,C1=CC=C(C=C1)O,C1=CC=C(C=C1)Cl,-6.96
371,1-hexanol,chlorobenzene,CCCCCCO,C1=CC=C(C=C1)Cl,-5.98
372,o-cresol,chlorobenzene,CC1=CC=CC=C1O,C1=CC=C(C=C1)Cl,-7.33
373,p-cresol,chlorobenzene,CC1=CC=C(C=C1)O,C1=CC=C(C=C1)Cl,-7.23
374,1-heptanol,chlorobenzene,CCCCCCCO,C1=CC=C(C=C1)Cl,-6.78
375,"1,4-dioxane",chlorobenzene,C1COCCO1,C1=CC=C(C=C1)Cl,-5.08
376,acetone,chlorobenzene,CC(=O)C,C1=CC=C(C=C1)Cl,-3.86
377,2-butanone,chlorobenzene,CCC(=O)C,C1=CC=C(C=C1)Cl,-4.47
378,2-pentanone,chlorobenzene,CCCC(=O)C,C1=CC=C(C=C1)Cl,-5.29
379,2-hexanone,chlorobenzene,CCCCC(=O)C,C1=CC=C(C=C1)Cl,-5.84
380,"3,3-dimethylbutanone",chlorobenzene,CC(=O)C(C)(C)C,C1=CC=C(C=C1)Cl,-5.25
381,2-heptanone,chlorobenzene,CCCCCC(=O)C,C1=CC=C(C=C1)Cl,-6.46
382,propanoicacid,chlorobenzene,CC(=O)CC(=O)NC1=CC(=C(C=C1OC)OC)Cl,C1=CC=C(C=C1)Cl,-4.38
385,ethylacetate,chlorobenzene,CCOC(=O)C,C1=CC=C(C=C1)Cl,-4.63
386,propylacetate,chlorobenzene,CCCCC(=O)O,C1=CC=C(C=C1)Cl,-5.15
388,butylacetate,chlorobenzene,CCCCCC(=O)[O-],C1=CC=C(C=C1)Cl,-5.74
390,ethylamine,chlorobenzene,CCN,C1=CC=C(C=C1)Cl,-2.73
391,dimethylamine,chlorobenzene,CNC,C1=CC=C(C=C1)Cl,-2.75
392,propylamine,chlorobenzene,CCCN,C1=CC=C(C=C1)Cl,-3.59
393,trimethylamine,chlorobenzene,CN(C)C,C1=CC=C(C=C1)Cl,-2.82
394,aniline,chlorobenzene,C1=CC=C(C=C1)N,C1=CC=C(C=C1)Cl,-6.72
395,chlorobenzene,chlorobenzene,C1=CC=C(C=C1)Cl,C1=CC=C(C=C1)Cl,-5.66
396,p-bromophenol,chlorobenzene,C1=CC(=CC=C1O)Br,C1=CC=C(C=C1)Cl,-8.54
397,ammonia,chlorobenzene,N,C1=CC=C(C=C1)Cl,-1.22
398,methylamine,chlorobenzene,CN,C1=CC=C(C=C1)Cl,-2.16
399,nitromethane,chlorobenzene,C[N+](=O)[O-],C1=CC=C(C=C1)Cl,-4.32
400,4-methylaniline,chlorobenzene,CC1=CC=C(C=C1)N,C1=CC=C(C=C1)Cl,-7.54
401,n-octane,chloroform,CCCCCCCC,C(Cl)(Cl)Cl,-5.25
402,cyclohexane,chloroform,C1CCCCC1,C(Cl)(Cl)Cl,-4.45
403,benzene,chloroform,C1=CC=CC=C1,C(Cl)(Cl)Cl,-4.64
404,toluene,chloroform,CC1=CC=CC=C1,C(Cl)(Cl)Cl,-5.48
405,ethylbenzene,chloroform,CCC1=CC=CC=C1,C(Cl)(Cl)Cl,-5.84
406,o-xylene,chloroform,CC1=CC=CC=C1C,C(Cl)(Cl)Cl,-6.23
407,m-xylene,chloroform,CC1=CC(=CC=C1)C,C(Cl)(Cl)Cl,-5.86
408,naphthalene,chloroform,C1=CC=C2C=CC=CC2=C1,C(Cl)(Cl)Cl,-7.89
409,methanol,chloroform,CO,C(Cl)(Cl)Cl,-3.32
410,ethanol,chloroform,CCO,C(Cl)(Cl)Cl,-3.94
411,"1,2-ethanediol",chloroform,C(CO)O,C(Cl)(Cl)Cl,-5.98
412,1-propanol,chloroform,CCCO,C(Cl)(Cl)Cl,-4.41
413,isopropanol,chloroform,CC(C)O,C(Cl)(Cl)Cl,-4.28
414,1-butanol,chloroform,CCCCO,C(Cl)(Cl)Cl,-5.28
415,t-butanol,chloroform,CC(C)(C)O,C(Cl)(Cl)Cl,-4.48
416,1-pentanol,chloroform,CCCCCO,C(Cl)(Cl)Cl,-5.9
417,phenol,chloroform,C1=CC=C(C=C1)O,C(Cl)(Cl)Cl,-7.14
418,1-hexanol,chloroform,CCCCCCO,C(Cl)(Cl)Cl,-6.67
419,o-cresol,chloroform,CC1=CC=CC=C1O,C(Cl)(Cl)Cl,-7.55
420,m-cresol,chloroform,CC1=CC(=CC=C1)O,C(Cl)(Cl)Cl,-6.7
421,p-cresol,chloroform,CC1=CC=C(C=C1)O,C(Cl)(Cl)Cl,-7.59
422,1-heptanol,chloroform,CCCCCCCO,C(Cl)(Cl)Cl,-7.53
423,"1,4-dioxane",chloroform,C1COCCO1,C(Cl)(Cl)Cl,-6.21
424,diethylether,chloroform,CCOCC,C(Cl)(Cl)Cl,-4.32
425,anisole,chloroform,COC1=CC=CC=C1,C(Cl)(Cl)Cl,-6.24
426,formaldehyde,chloroform,C=O,C(Cl)(Cl)Cl,0.12
427,acetaldehyde,chloroform,CC=O,C(Cl)(Cl)Cl,-3.65
428,benzaldehyde,chloroform,C1=CC=C(C=C1)C=O,C(Cl)(Cl)Cl,-7.09
429,acetone,chloroform,CC(=O)C,C(Cl)(Cl)Cl,-4.42
430,2-butanone,chloroform,CCC(=O)C,C(Cl)(Cl)Cl,-5.43
431,acetophenone,chloroform,CC(=O)C1=CC=CC=C1,C(Cl)(Cl)Cl,-7.81
433,propanoicacid,chloroform,CC(=O)CC(=O)NC1=CC(=C(C=C1OC)OC)Cl,C(Cl)(Cl)Cl,-5.37
434,butanoicacid,chloroform,C1=CN=C(C=C1CO)C2=NC=CC(=C2)CO,C(Cl)(Cl)Cl,-5.99
436,hexanoicacid,chloroform,C1=CC=C(C=C1)C[Si](Cl)(Cl)Cl,C(Cl)(Cl)Cl,-7.51
439,ethylacetate,chloroform,CCOC(=O)C,C(Cl)(Cl)Cl,-5.58
440,propylacetate,chloroform,CCCCC(=O)O,C(Cl)(Cl)Cl,-6.35
442,butylacetate,chloroform,CCCCCC(=O)[O-],C(Cl)(Cl)Cl,-6.71
445,ethylamine,chloroform,CCN,C(Cl)(Cl)Cl,-4.02
446,dimethylamine,chloroform,CNC,C(Cl)(Cl)Cl,-3.69
447,propylamine,chloroform,CCCN,C(Cl)(Cl)Cl,-4.73
448,trimethylamine,chloroform,CN(C)C,C(Cl)(Cl)Cl,-3.9
449,diethylamine,chloroform,CCNCC,C(Cl)(Cl)Cl,-5.23
450,pyridine,chloroform,C1=CC=NC=C1,C(Cl)(Cl)Cl,-6.45
451,2-methylpyrazine,chloroform,CC1=NC=CN=C1,C(Cl)(Cl)Cl,-6.99
452,aniline,chloroform,C1=CC=C(C=C1)N,C(Cl)(Cl)Cl,-7.34
453,2-methylpyridine,chloroform,CC1=CC=CC=N1,C(Cl)(Cl)Cl,-6.98
454,3-methylpyridine,chloroform,CC1=CN=CC=C1,C(Cl)(Cl)Cl,-7.35
455,4-methylpyridine,chloroform,CC1=CC=NC=C1,C(Cl)(Cl)Cl,-7.5
456,"2,6-dimethylpyridine",chloroform,CC1=NC(=CC=C1)C,C(Cl)(Cl)Cl,-7.74
457,acetonitrile,chloroform,CC#N,C(Cl)(Cl)Cl,-4.44
458,benzonitrile,chloroform,C1=CC=C(C=C1)C#N,C(Cl)(Cl)Cl,-7.22
459,nitrobenzene,chloroform,C1=CC=C(C=C1)[N+](=O)[O-],C(Cl)(Cl)Cl,-7.78
460,2-methyl-1-nitrobenzene,chloroform,CC1=CC=CC=C1[N+](=O)[O-],C(Cl)(Cl)Cl,-8.3
461,thiophenol,chloroform,C1=CC=C(C=C1)S,C(Cl)(Cl)Cl,-7.61
462,diethylsulfide,chloroform,CCSCC,C(Cl)(Cl)Cl,-6.4
